university_id,academic_level,academic_level_grade,university_size,university_size_grade,reward,count
u001,0.59,#59,0.85,#85,Literature,20
u001,0.59,#59,0.85,#85,Mathematics,21
u001,0.59,#59,0.85,#85,Biology,25
u001,0.59,#59,0.85,#85,Chemistry,23
u001,0.59,#59,0.85,#85,Physics,17
u001,0.59,#59,0.85,#85,Computer Science,20
u001,0.59,#59,0.85,#85,Politics,20
u001,0.59,#59,0.85,#85,History,19
u002,0.64,#64,0.56,#56,Literature,21
u002,0.64,#64,0.56,#56,Mathematics,26
u002,0.64,#64,0.56,#56,Biology,29
u002,0.64,#64,0.56,#56,Chemistry,29
u002,0.64,#64,0.56,#56,Physics,19
u002,0.64,#64,0.56,#56,Computer Science,27
u002,0.64,#64,0.56,#56,Politics,26
u002,0.64,#64,0.56,#56,History,23
u003,0.44,#44,0.49,#49,Literature,16
u003,0.44,#44,0.49,#49,Mathematics,10
u003,0.44,#44,0.49,#49,Biology,12
u003,0.44,#44,0.49,#49,Chemistry,13
u003,0.44,#44,0.49,#49,Physics,13
u003,0.44,#44,0.49,#49,Computer Science,14
u003,0.44,#44,0.49,#49,Politics,8
u003,0.44,#44,0.49,#49,History,17
u004,0.60,#60,0.33,#33,Literature,22
u004,0.60,#60,0.33,#33,Mathematics,15
u004,0.60,#60,0.33,#33,Biology,15
u004,0.60,#60,0.33,#33,Chemistry,18
u004,0.60,#60,0.33,#33,Physics,24
u004,0.60,#60,0.33,#33,Computer Science,21
u004,0.60,#60,0.33,#33,Politics,23
u004,0.60,#60,0.33,#33,History,18
u005,0.67,#67,0.34,#34,Literature,29
u005,0.67,#67,0.34,#34,Mathematics,29
u005,0.67,#67,0.34,#34,Biology,23
u005,0.67,#67,0.34,#34,Chemistry,27
u005,0.67,#67,0.34,#34,Physics,29
u005,0.67,#67,0.34,#34,Computer Science,22
u005,0.67,#67,0.34,#34,Politics,21
u005,0.67,#67,0.34,#34,History,32
u006,0.73,#73,0.89,#89,Literature,28
u006,0.73,#73,0.89,#89,Mathematics,32
u006,0.73,#73,0.89,#89,Biology,34
u006,0.73,#73,0.89,#89,Chemistry,34
u006,0.73,#73,0.89,#89,Physics,31
u006,0.73,#73,0.89,#89,Computer Science,32
u006,0.73,#73,0.89,#89,Politics,31
u006,0.73,#73,0.89,#89,History,32
u007,0.69,#69,0.69,#69,Literature,27
u007,0.69,#69,0.69,#69,Mathematics,21
u007,0.69,#69,0.69,#69,Biology,30
u007,0.69,#69,0.69,#69,Chemistry,22
u007,0.69,#69,0.69,#69,Physics,25
u007,0.69,#69,0.69,#69,Computer Science,33
u007,0.69,#69,0.69,#69,Politics,30
u007,0.69,#69,0.69,#69,History,32
u008,0.90,#90,0.86,#86,Literature,40
u008,0.90,#90,0.86,#86,Mathematics,34
u008,0.90,#90,0.86,#86,Biology,38
u008,0.90,#90,0.86,#86,Chemistry,38
u008,0.90,#90,0.86,#86,Physics,40
u008,0.90,#90,0.86,#86,Computer Science,47
u008,0.90,#90,0.86,#86,Politics,48
u008,0.90,#90,0.86,#86,History,43
u009,0.71,#71,0.69,#69,Literature,29
u009,0.71,#71,0.69,#69,Mathematics,25
u009,0.71,#71,0.69,#69,Biology,32
u009,0.71,#71,0.69,#69,Chemistry,24
u009,0.71,#71,0.69,#69,Physics,33
u009,0.71,#71,0.69,#69,Computer Science,30
u009,0.71,#71,0.69,#69,Politics,33
u009,0.71,#71,0.69,#69,History,30
u010,0.93,#93,0.43,#43,Literature,41
u010,0.93,#93,0.43,#43,Mathematics,40
u010,0.93,#93,0.43,#43,Biology,39
u010,0.93,#93,0.43,#43,Chemistry,46
u010,0.93,#93,0.43,#43,Physics,47
u010,0.93,#93,0.43,#43,Computer Science,39
u010,0.93,#93,0.43,#43,Politics,45
u010,0.93,#93,0.43,#43,History,39
u011,0.73,#73,0.61,#61,Literature,35
u011,0.73,#73,0.61,#61,Mathematics,26
u011,0.73,#73,0.61,#61,Biology,26
u011,0.73,#73,0.61,#61,Chemistry,30
u011,0.73,#73,0.61,#61,Physics,32
u011,0.73,#73,0.61,#61,Computer Science,25
u011,0.73,#73,0.61,#61,Politics,31
u011,0.73,#73,0.61,#61,History,35
u012,0.87,#87,0.68,#68,Literature,37
u012,0.87,#87,0.68,#68,Mathematics,39
u012,0.87,#87,0.68,#68,Biology,34
u012,0.87,#87,0.68,#68,Chemistry,36
u012,0.87,#87,0.68,#68,Physics,39
u012,0.87,#87,0.68,#68,Computer Science,36
u012,0.87,#87,0.68,#68,Politics,36
u012,0.87,#87,0.68,#68,History,41
u013,0.70,#70,0.70,#70,Literature,23
u013,0.70,#70,0.70,#70,Mathematics,28
u013,0.70,#70,0.70,#70,Biology,26
u013,0.70,#70,0.70,#70,Chemistry,31
u013,0.70,#70,0.70,#70,Physics,33
u013,0.70,#70,0.70,#70,Computer Science,29
u013,0.70,#70,0.70,#70,Politics,19
u013,0.70,#70,0.70,#70,History,36
u014,0.70,#70,0.62,#62,Literature,32
u014,0.70,#70,0.62,#62,Mathematics,30
u014,0.70,#70,0.62,#62,Biology,27
u014,0.70,#70,0.62,#62,Chemistry,33
u014,0.70,#70,0.62,#62,Physics,29
u014,0.70,#70,0.62,#62,Computer Science,28
u014,0.70,#70,0.62,#62,Politics,27
u014,0.70,#70,0.62,#62,History,26
u015,0.87,#87,0.72,#72,Literature,35
u015,0.87,#87,0.72,#72,Mathematics,31
u015,0.87,#87,0.72,#72,Biology,41
u015,0.87,#87,0.72,#72,Chemistry,41
u015,0.87,#87,0.72,#72,Physics,35
u015,0.87,#87,0.72,#72,Computer Science,38
u015,0.87,#87,0.72,#72,Politics,31
u015,0.87,#87,0.72,#72,History,34
u016,0.77,#77,0.71,#71,Literature,33
u016,0.77,#77,0.71,#71,Mathematics,29
u016,0.77,#77,0.71,#71,Biology,28
u016,0.77,#77,0.71,#71,Chemistry,39
u016,0.77,#77,0.71,#71,Physics,26
u016,0.77,#77,0.71,#71,Computer Science,26
u016,0.77,#77,0.71,#71,Politics,28
u016,0.77,#77,0.71,#71,History,31
u017,0.62,#62,0.48,#48,Literature,16
u017,0.62,#62,0.48,#48,Mathematics,20
u017,0.62,#62,0.48,#48,Biology,27
u017,0.62,#62,0.48,#48,Chemistry,23
u017,0.62,#62,0.48,#48,Physics,18
u017,0.62,#62,0.48,#48,Computer Science,21
u017,0.62,#62,0.48,#48,Politics,19
u017,0.62,#62,0.48,#48,History,26
u018,0.61,#61,0.55,#55,Literature,29
u018,0.61,#61,0.55,#55,Mathematics,20
u018,0.61,#61,0.55,#55,Biology,27
u018,0.61,#61,0.55,#55,Chemistry,19
u018,0.61,#61,0.55,#55,Physics,21
u018,0.61,#61,0.55,#55,Computer Science,21
u018,0.61,#61,0.55,#55,Politics,25
u018,0.61,#61,0.55,#55,History,16
u019,0.88,#88,0.86,#86,Literature,33
u019,0.88,#88,0.86,#86,Mathematics,41
u019,0.88,#88,0.86,#86,Biology,40
u019,0.88,#88,0.86,#86,Chemistry,34
u019,0.88,#88,0.86,#86,Physics,43
u019,0.88,#88,0.86,#86,Computer Science,34
u019,0.88,#88,0.86,#86,Politics,43
u019,0.88,#88,0.86,#86,History,40
u020,0.66,#66,0.87,#87,Literature,23
u020,0.66,#66,0.87,#87,Mathematics,32
u020,0.66,#66,0.87,#87,Biology,28
u020,0.66,#66,0.87,#87,Chemistry,19
u020,0.66,#66,0.87,#87,Physics,26
u020,0.66,#66,0.87,#87,Computer Science,28
u020,0.66,#66,0.87,#87,Politics,30
u020,0.66,#66,0.87,#87,History,27
u021,0.66,#66,0.51,#51,Literature,23
u021,0.66,#66,0.51,#51,Mathematics,28
u021,0.66,#66,0.51,#51,Biology,25
u021,0.66,#66,0.51,#51,Chemistry,28
u021,0.66,#66,0.51,#51,Physics,27
u021,0.66,#66,0.51,#51,Computer Science,27
u021,0.66,#66,0.51,#51,Politics,24
u021,0.66,#66,0.51,#51,History,31
u022,0.50,#50,0.64,#64,Literature,13
u022,0.50,#50,0.64,#64,Mathematics,15
u022,0.50,#50,0.64,#64,Biology,12
u022,0.50,#50,0.64,#64,Chemistry,15
u022,0.50,#50,0.64,#64,Physics,18
u022,0.50,#50,0.64,#64,Computer Science,12
u022,0.50,#50,0.64,#64,Politics,13
u022,0.50,#50,0.64,#64,History,12
u023,0.46,#46,0.72,#72,Literature,21
u023,0.46,#46,0.72,#72,Mathematics,20
u023,0.46,#46,0.72,#72,Biology,16
u023,0.46,#46,0.72,#72,Chemistry,14
u023,0.46,#46,0.72,#72,Physics,18
u023,0.46,#46,0.72,#72,Computer Science,21
u023,0.46,#46,0.72,#72,Politics,16
u023,0.46,#46,0.72,#72,History,15
u024,0.77,#77,0.74,#74,Literature,27
u024,0.77,#77,0.74,#74,Mathematics,31
u024,0.77,#77,0.74,#74,Biology,35
u024,0.77,#77,0.74,#74,Chemistry,33
u024,0.77,#77,0.74,#74,Physics,35
u024,0.77,#77,0.74,#74,Computer Science,26
u024,0.77,#77,0.74,#74,Politics,35
u024,0.77,#77,0.74,#74,History,37
u025,0.50,#50,0.83,#83,Literature,20
u025,0.50,#50,0.83,#83,Mathematics,19
u025,0.50,#50,0.83,#83,Biology,16
u025,0.50,#50,0.83,#83,Chemistry,15
u025,0.50,#50,0.83,#83,Physics,24
u025,0.50,#50,0.83,#83,Computer Science,14
u025,0.50,#50,0.83,#83,Politics,16
u025,0.50,#50,0.83,#83,History,17
u026,0.62,#62,0.75,#75,Literature,21
u026,0.62,#62,0.75,#75,Mathematics,21
u026,0.62,#62,0.75,#75,Biology,24
u026,0.62,#62,0.75,#75,Chemistry,28
u026,0.62,#62,0.75,#75,Physics,20
