source,target,value
hex-1-1,hex-0-0,4
hex-0-0,hex-0-1,1
hex-1-1,hex-0-2,5
hex-0-2,hex-1-2,2
hex-1-1,hex-0-4,6
hex-0-4,hex-2-1,3
hex-1-1,hex-1-3,4
hex-1-3,hex-3-2,4
hex-1-1,hex-2-2,5
hex-2-2,hex-4-2,1
hex-1-1,hex-2-4,6
hex-2-4,hex-5-3,2
hex-1-1,hex-3-0,4
hex-3-0,hex-0-3,3
hex-1-1,hex-3-3,5
hex-3-3,hex-1-4,4
hex-1-1,hex-4-1,6
hex-4-1,hex-2-3,1
hex-1-1,hex-4-4,4
hex-4-4,hex-3-4,2
hex-1-1,hex-5-0,5
hex-5-0,hex-4-3,3
hex-1-1,hex-5-2,6
hex-5-2,hex-5-4,4
hex-1-6,hex-0-5,4
hex-0-5,hex-0-8,1
hex-1-6,hex-0-7,5
hex-0-7,hex-1-9,2
hex-1-6,hex-0-9,6
hex-0-9,hex-2-8,3
hex-1-6,hex-1-8,4
hex-1-8,hex-3-9,4
hex-1-6,hex-2-7,5
hex-2-7,hex-4-8,1
hex-1-6,hex-2-9,6
hex-2-9,hex-5-9,2
hex-1-6,hex-3-5,4
hex-3-5,hex-1-5,3
hex-1-6,hex-3-8,5
hex-3-8,hex-2-5,4
hex-1-6,hex-4-6,6
hex-4-6,hex-3-6,1
hex-1-6,hex-4-9,4
hex-4-9,hex-4-5,2
hex-1-6,hex-5-5,5
hex-5-5,hex-5-6,3
hex-1-6,hex-5-7,6
hex-5-7,hex-0-6,4
hex-1-11,hex-0-10,4
hex-0-10,hex-1-10,1
hex-1-11,hex-0-12,5
hex-0-12,hex-2-10,2
hex-1-11,hex-0-14,6
hex-0-14,hex-3-11,3
hex-1-11,hex-1-13,4
hex-1-13,hex-4-10,4
hex-1-11,hex-2-12,5
hex-2-12,hex-5-11,1
hex-1-11,hex-2-14,6
hex-2-14,hex-0-11,2
hex-1-11,hex-3-10,4
hex-3-10,hex-1-12,3
hex-1-11,hex-3-13,5
hex-3-13,hex-2-11,4
hex-1-11,hex-4-11,6
hex-4-11,hex-3-12,1
hex-1-11,hex-4-14,4
hex-4-14,hex-4-12,2
hex-1-11,hex-5-10,5
hex-5-10,hex-5-13,3
hex-1-11,hex-5-12,6
hex-5-12,hex-0-13,4
hex-7-1,hex-6-0,4
hex-6-0,hex-7-2,1
hex-7-1,hex-6-2,5
hex-6-2,hex-8-1,2
hex-7-1,hex-6-4,6
hex-6-4,hex-9-2,3
hex-7-1,hex-7-3,4
hex-7-3,hex-10-2,4
hex-7-1,hex-8-2,5
hex-8-2,hex-11-3,1
hex-7-1,hex-8-4,6
hex-8-4,hex-6-3,2
hex-7-1,hex-9-0,4
hex-9-0,hex-7-4,3
hex-7-1,hex-9-3,5
hex-9-3,hex-8-3,4
hex-7-1,hex-10-1,6
hex-10-1,hex-9-4,1
hex-7-1,hex-10-4,4
hex-10-4,hex-10-3,2
hex-7-1,hex-11-0,5
hex-11-0,hex-11-4,3
hex-7-1,hex-11-2,6
hex-11-2,hex-7-0,4
hex-7-6,hex-6-5,4
hex-6-5,hex-7-9,1
hex-7-6,hex-6-7,5
hex-6-7,hex-8-8,2
hex-7-6,hex-6-9,6
hex-6-9,hex-9-9,3
hex-7-6,hex-7-8,4
hex-7-8,hex-10-8,4
hex-7-6,hex-8-7,5
hex-8-7,hex-11-9,1
hex-7-6,hex-8-9,6
hex-8-9,hex-7-5,2
hex-7-6,hex-9-5,4
hex-9-5,hex-8-5,3
hex-7-6,hex-9-8,5
hex-9-8,hex-9-6,4
hex-7-6,hex-10-6,6
hex-10-6,hex-10-5,1
hex-7-6,hex-10-9,4
hex-10-9,hex-11-6,2
hex-7-6,hex-11-5,5
hex-11-5,hex-6-6,3
hex-7-6,hex-11-7,6
hex-11-7,hex-7-7,4
hex-7-11,hex-6-10,4
hex-6-10,hex-8-10,1
hex-7-11,hex-6-12,5
hex-6-12,hex-9-11,2
hex-7-11,hex-6-14,6
hex-6-14,hex-10-10,3
hex-7-11,hex-7-13,4
hex-7-13,hex-11-11,4
hex-7-11,hex-8-12,5
hex-8-12,hex-6-11,1
hex-7-11,hex-8-14,6
hex-8-14,hex-7-12,2
hex-7-11,hex-9-10,4
hex-9-10,hex-8-11,3
hex-7-11,hex-9-13,5
hex-9-13,hex-9-12,4
hex-7-11,hex-10-11,6
hex-10-11,hex-10-12,1
hex-7-11,hex-10-14,4
hex-10-14,hex-11-13,2
hex-7-11,hex-11-10,5
hex-11-10,hex-6-13,3
hex-7-11,hex-11-12,6
hex-11-12,hex-7-14,4
