hex_id,x,y,arealabel,typelabel,weight
hex-0-0,0.00,0.00,Area-1,middle,1
hex-0-1,1.05,0.00,Area-1,normal,8
hex-0-2,2.10,0.00,Area-1,middle,6
hex-0-3,3.15,0.00,Area-1,normal,4
hex-0-4,4.20,0.00,Area-1,middle,2
hex-0-5,5.25,0.00,Area-2,middle,9
hex-0-6,6.30,0.00,Area-2,normal,7
hex-0-7,7.35,0.00,Area-2,middle,5
hex-0-8,8.40,0.00,Area-2,normal,3
hex-0-9,9.45,0.00,Area-2,middle,1
hex-0-10,10.50,0.00,Area-3,middle,8
hex-0-11,11.55,0.00,Area-3,normal,6
hex-0-12,12.60,0.00,Area-3,middle,4
hex-0-13,13.65,0.00,Area-3,normal,2
hex-0-14,14.70,0.00,Area-3,middle,9
hex-1-0,0.53,0.91,Area-1,normal,5
hex-1-1,1.58,0.91,Area-1,leader,3
hex-1-2,2.63,0.91,Area-1,normal,1
hex-1-3,3.68,0.91,Area-1,middle,8
hex-1-4,4.73,0.91,Area-1,normal,6
hex-1-5,5.78,0.91,Area-2,normal,4
hex-1-6,6.83,0.91,Area-2,leader,2
hex-1-7,7.88,0.91,Area-2,normal,9
hex-1-8,8.93,0.91,Area-2,middle,7
hex-1-9,9.97,0.91,Area-2,normal,5
hex-1-10,11.03,0.91,Area-3,normal,3
hex-1-11,12.08,0.91,Area-3,leader,1
hex-1-12,13.13,0.91,Area-3,normal,8
hex-1-13,14.18,0.91,Area-3,middle,6
hex-1-14,15.23,0.91,Area-3,normal,4
hex-2-0,0.00,1.82,Area-1,normal,9
hex-2-1,1.05,1.82,Area-1,normal,7
hex-2-2,2.10,1.82,Area-1,middle,5
hex-2-3,3.15,1.82,Area-1,normal,3
hex-2-4,4.20,1.82,Area-1,middle,1
hex-2-5,5.25,1.82,Area-2,normal,8
hex-2-6,6.30,1.82,Area-2,normal,6
hex-2-7,7.35,1.82,Area-2,middle,4
hex-2-8,8.40,1.82,Area-2,normal,2
hex-2-9,9.45,1.82,Area-2,middle,9
hex-2-10,10.50,1.82,Area-3,normal,7
hex-2-11,11.55,1.82,Area-3,normal,5
hex-2-12,12.60,1.82,Area-3,middle,3
hex-2-13,13.65,1.82,Area-3,normal,1
hex-2-14,14.70,1.82,Area-3,middle,8
hex-3-0,0.53,2.73,Area-1,middle,4
hex-3-1,1.58,2.73,Area-1,normal,2
hex-3-2,2.63,2.73,Area-1,normal,9
hex-3-3,3.68,2.73,Area-1,middle,7
hex-3-4,4.73,2.73,Area-1,normal,5
hex-3-5,5.78,2.73,Area-2,middle,3
hex-3-6,6.83,2.73,Area-2,normal,1
hex-3-7,7.88,2.73,Area-2,normal,8
hex-3-8,8.93,2.73,Area-2,middle,6
hex-3-9,9.97,2.73,Area-2,normal,4
hex-3-10,11.03,2.73,Area-3,middle,2
hex-3-11,12.08,2.73,Area-3,normal,9
hex-3-12,13.13,2.73,Area-3,normal,7
hex-3-13,14.18,2.73,Area-3,middle,5
hex-3-14,15.23,2.73,Area-3,normal,3
hex-4-0,0.00,3.64,Area-1,normal,8
hex-4-1,1.05,3.64,Area-1,middle,6
hex-4-2,2.10,3.64,Area-1,normal,4
hex-4-3,3.15,3.64,Area-1,normal,2
hex-4-4,4.20,3.64,Area-1,middle,9
hex-4-5,5.25,3.64,Area-2,normal,7
hex-4-6,6.30,3.64,Area-2,middle,5
hex-4-7,7.35,3.64,Area-2,normal,3
hex-4-8,8.40,3.64,Area-2,normal,1
hex-4-9,9.45,3.64,Area-2,middle,8
hex-4-10,10.50,3.64,Area-3,normal,6
hex-4-11,11.55,3.64,Area-3,middle,4
hex-4-12,12.60,3.64,Area-3,normal,2
hex-4-13,13.65,3.64,Area-3,normal,9
hex-4-14,14.70,3.64,Area-3,middle,7
hex-5-0,0.53,4.55,Area-1,middle,3
hex-5-1,1.58,4.55,Area-1,normal,1
hex-5-2,2.63,4.55,Area-1,middle,8
hex-5-3,3.68,4.55,Area-1,normal,6
hex-5-4,4.73,4.55,Area-1,normal,4
hex-5-5,5.78,4.55,Area-2,middle,2
hex-5-6,6.83,4.55,Area-2,normal,9
hex-5-7,7.88,4.55,Area-2,middle,7
hex-5-8,8.93,4.55,Area-2,normal,5
hex-5-9,9.97,4.55,Area-2,normal,3
hex-5-10,11.03,4.55,Area-3,middle,1
hex-5-11,12.08,4.55,Area-3,normal,8
hex-5-12,13.13,4.55,Area-3,middle,6
hex-5-13,14.18,4.55,Area-3,normal,4
hex-5-14,15.23,4.55,Area-3,normal,2
hex-6-0,0.00,5.46,Area-4,middle,7
hex-6-1,1.05,5.46,Area-4,normal,5
hex-6-2,2.10,5.46,Area-4,middle,3
hex-6-3,3.15,5.46,Area-4,normal,1
hex-6-4,4.20,5.46,Area-4,middle,8
hex-6-5,5.25,5.46,Area-5,middle,6
hex-6-6,6.30,5.46,Area-5,normal,4
hex-6-7,7.35,5.46,Area-5,middle,2
hex-6-8,8.40,5.46,Area-5,normal,9
hex-6-9,9.45,5.46,Area-5,middle,7
hex-6-10,10.50,5.46,Area-6,middle,5
hex-6-11,11.55,5.46,Area-6,normal,3
hex-6-12,12.60,5.46,Area-6,middle,1
hex-6-13,13.65,5.46,Area-6,normal,8
hex-6-14,14.70,5.46,Area-6,middle,6
hex-7-0,0.53,6.37,Area-4,normal,2
hex-7-1,1.58,6.37,Area-4,leader,9
hex-7-2,2.63,6.37,Area-4,normal,7
hex-7-3,3.68,6.37,Area-4,middle,5
hex-7-4,4.73,6.37,Area-4,normal,3
hex-7-5,5.78,6.37,Area-5,normal,1
hex-7-6,6.83,6.37,Area-5,leader,8
hex-7-7,7.88,6.37,Area-5,normal,6
hex-7-8,8.93,6.37,Area-5,middle,4
hex-7-9,9.97,6.37,Area-5,normal,2
hex-7-10,11.03,6.37,Area-6,normal,9
hex-7-11,12.08,6.37,Area-6,leader,7
hex-7-12,13.13,6.37,Area-6,normal,5
hex-7-13,14.18,6.37,Area-6,middle,3
hex-7-14,15.23,6.37,Area-6,normal,1
hex-8-0,0.00,7.28,Area-4,normal,6
hex-8-1,1.05,7.28,Area-4,normal,4
hex-8-2,2.10,7.28,Area-4,middle,2
hex-8-3,3.15,7.28,Area-4,normal,9
hex-8-4,4.20,7.28,Area-4,middle,7
hex-8-5,5.25,7.28,Area-5,normal,5
hex-8-6,6.30,7.28,Area-5,normal,3
hex-8-7,7.35,7.28,Area-5,middle,1
hex-8-8,8.40,7.28,Area-5,normal,8
hex-8-9,9.45,7.28,Area-5,middle,6
hex-8-10,10.50,7.28,Area-6,normal,4
hex-8-11,11.55,7.28,Area-6,normal,2
hex-8-12,12.60,7.28,Area-6,middle,9
hex-8-13,13.65,7.28,Area-6,normal,7
hex-8-14,14.70,7.28,Area-6,middle,5
hex-9-0,0.53,8.19,Area-4,middle,1
hex-9-1,1.58,8.19,Area-4,normal,8
hex-9-2,2.63,8.19,Area-4,normal,6
hex-9-3,3.68,8.19,Area-4,middle,4
hex-9-4,4.73,8.19,Area-4,normal,2
hex-9-5,5.78,8.19,Area-5,middle,9
hex-9-6,6.83,8.19,Area-5,normal,7
hex-9-7,7.88,8.19,Area-5,normal,5
hex-9-8,8.93,8.19,Area-5,middle,3
hex-9-9,9.97,8.19,Area-5,normal,1
hex-9-10,11.03,8.19,Area-6,middle,8
hex-9-11,12.08,8.19,Area-6,normal,6
hex-9-12,13.13,8.19,Area-6,normal,4
hex-9-13,14.18,8.19,Area-6,middle,2
hex-9-14,15.23,8.19,Area-6,normal,9
hex-10-0,0.00,9.10,Area-4,normal,5
hex-10-1,1.05,9.10,Area-4,middle,3
hex-10-2,2.10,9.10,Area-4,normal,1
hex-10-3,3.15,9.10,Area-4,normal,8
hex-10-4,4.20,9.10,Area-4,middle,6
hex-10-5,5.25,9.10,Area-5,normal,4
hex-10-6,6.30,9.10,Area-5,middle,2
hex-10-7,7.35,9.10,Area-5,normal,9
hex-10-8,8.40,9.10,Area-5,normal,7
hex-10-9,9.45,9.10,Area-5,middle,5
hex-10-10,10.50,9.10,Area-6,normal,3
hex-10-11,11.55,9.10,Area-6,middle,1
