university_id,academic_level,academic_level_grade,university_size,university_size_grade,Literature,Mathematics,Biology,Chemistry,Physics,Computer Science,Politics,History,total_awards
u001,0.59,#59,0.85,#85,20,21,25,23,17,20,20,19,165
u002,0.64,#64,0.56,#56,21,26,29,29,19,27,26,23,200
u003,0.44,#44,0.49,#49,16,10,12,13,13,14,8,17,103
u004,0.60,#60,0.33,#33,22,15,15,18,24,21,23,18,156
u005,0.67,#67,0.34,#34,29,29,23,27,29,22,21,32,212
u006,0.73,#73,0.89,#89,28,32,34,34,31,32,31,32,254
u007,0.69,#69,0.69,#69,27,21,30,22,25,33,30,32,220
u008,0.90,#90,0.86,#86,40,34,38,38,40,47,48,43,328
u009,0.71,#71,0.69,#69,29,25,32,24,33,30,33,30,236
u010,0.93,#93,0.43,#43,41,40,39,46,47,39,45,39,336
u011,0.73,#73,0.61,#61,35,26,26,30,32,25,31,35,240
u012,0.87,#87,0.68,#68,37,39,34,36,39,36,36,41,298
u013,0.70,#70,0.70,#70,23,28,26,31,33,29,19,36,225
u014,0.70,#70,0.62,#62,32,30,27,33,29,28,27,26,232
u015,0.87,#87,0.72,#72,35,31,41,41,35,38,31,34,286
u016,0.77,#77,0.71,#71,33,29,28,39,26,26,28,31,240
u017,0.62,#62,0.48,#48,16,20,27,23,18,21,19,26,170
u018,0.61,#61,0.55,#55,29,20,27,19,21,21,25,16,178
u019,0.88,#88,0.86,#86,33,41,40,34,43,34,43,40,308
u020,0.66,#66,0.87,#87,23,32,28,19,26,28,30,27,213
u021,0.66,#66,0.51,#51,23,28,25,28,27,27,24,31,213
u022,0.50,#50,0.64,#64,13,15,12,15,18,12,13,12,110
u023,0.46,#46,0.72,#72,21,20,16,14,18,21,16,15,141
u024,0.77,#77,0.74,#74,27,31,35,33,35,26,35,37,259
u025,0.50,#50,0.83,#83,20,19,16,15,24,14,16,17,141
u026,0.62,#62,0.75,#75,21,21,24,28,20,20,24,24,182
u027,0.51,#51,0.68,#68,12,21,16,15,20,16,23,19,142
u028,0.62,#62,0.61,#61,19,27,23,21,18,22,17,25,172
u029,0.58,#58,0.43,#43,19,25,19,20,18,17,22,24,164
u030,0.75,#75,0.74,#74,29,28,30,33,31,27,28,25,231
u031,0.76,#76,0.70,#70,37,32,30,37,30,33,32,35,266
u032,0.72,#72,0.74,#74,27,27,28,27,27,35,27,28,226
u033,0.65,#65,0.72,#72,27,19,26,30,24,18,26,17,187
u034,0.64,#64,0.56,#56,21,27,28,17,20,18,20,27,178
