node_id,period,engagement,reach,response
N01,1,15,12,11
N01,2,18,16,16
N01,3,21,20,21
N01,4,24,24,8
N01,5,27,28,13
N01,6,30,10,18
N02,1,20,19,13
N02,2,23,23,18
N02,3,26,27,23
N02,4,29,9,10
N02,5,32,13,15
N02,6,35,17,20
N03,1,25,26,15
N03,2,28,8,20
N03,3,31,12,7
N03,4,34,16,12
N03,5,13,20,17
N03,6,16,24,22
N04,1,30,11,17
N04,2,33,15,22
N04,3,12,19,9
N04,4,15,23,14
N04,5,18,27,19
N04,6,21,9,6
N05,1,35,18,19
N05,2,14,22,6
N05,3,17,26,11
N05,4,20,8,16
N05,5,23,12,21
N05,6,26,16,8
N06,1,16,25,21
N06,2,19,29,8
N06,3,22,11,13
N06,4,25,15,18
N06,5,28,19,23
N06,6,31,23,10
N07,1,21,10,23
N07,2,24,14,10
N07,3,27,18,15
N07,4,30,22,20
N07,5,33,26,7
N07,6,12,8,12
N08,1,26,17,7
N08,2,29,21,12
N08,3,32,25,17
N08,4,35,29,22
N08,5,14,11,9
N08,6,17,15,14
N09,1,31,24,9
N09,2,34,28,14
N09,3,13,10,19
N09,4,16,14,6
N09,5,19,18,11
N09,6,22,22,16
N10,1,12,9,11
N10,2,15,13,16
N10,3,18,17,21
N10,4,21,21,8
N10,5,24,25,13
N10,6,27,29,18
N11,1,17,16,13
N11,2,20,20,18
N11,3,23,24,23
N11,4,26,28,10
N11,5,29,10,15
N11,6,32,14,20
N12,1,22,23,15
N12,2,25,27,20
N12,3,28,9,7
N12,4,31,13,12
N12,5,34,17,17
N12,6,13,21,22
N13,1,27,8,17
N13,2,30,12,22
N13,3,33,16,9
N13,4,12,20,14
N13,5,15,24,19
N13,6,18,28,6
N14,1,32,15,19
N14,2,35,19,6
N14,3,14,23,11
N14,4,17,27,16
N14,5,20,9,21
N14,6,23,13,8
N15,1,13,22,21
N15,2,16,26,8
N15,3,19,8,13
N15,4,22,12,18
N15,5,25,16,23
N15,6,28,20,10
N16,1,18,29,23
N16,2,21,11,10
N16,3,24,15,15
N16,4,27,19,20
N16,5,30,23,7
N16,6,33,27,12
