node_id,grid_x,grid_y,intensity
N01,1,1,8
N01,2,1,15
N01,3,1,22
N01,4,1,29
N01,1,2,13
N01,2,2,20
N01,3,2,27
N01,4,2,34
N01,1,3,18
N01,2,3,25
N01,3,3,32
N01,4,3,39
N01,1,4,23
N01,2,4,30
N01,3,4,37
N01,4,4,44
N02,1,1,19
N02,2,1,26
N02,3,1,33
N02,4,1,40
N02,1,2,24
N02,2,2,31
N02,3,2,38
N02,4,2,45
N02,1,3,29
N02,2,3,36
N02,3,3,43
N02,4,3,9
N02,1,4,34
N02,2,4,41
N02,3,4,48
N02,4,4,14
N03,1,1,30
N03,2,1,37
N03,3,1,44
N03,4,1,10
N03,1,2,35
N03,2,2,42
N03,3,2,8
N03,4,2,15
N03,1,3,40
N03,2,3,47
N03,3,3,13
N03,4,3,20
N03,1,4,45
N03,2,4,11
N03,3,4,18
N03,4,4,25
N04,1,1,41
N04,2,1,48
N04,3,1,14
N04,4,1,21
N04,1,2,46
N04,2,2,12
N04,3,2,19
N04,4,2,26
N04,1,3,10
N04,2,3,17
N04,3,3,24
N04,4,3,31
N04,1,4,15
N04,2,4,22
N04,3,4,29
N04,4,4,36
N05,1,1,11
N05,2,1,18
N05,3,1,25
N05,4,1,32
N05,1,2,16
N05,2,2,23
N05,3,2,30
N05,4,2,37
N05,1,3,21
N05,2,3,28
N05,3,3,35
N05,4,3,42
N05,1,4,26
N05,2,4,33
N05,3,4,40
N05,4,4,47
N06,1,1,22
N06,2,1,29
N06,3,1,36
N06,4,1,43
N06,1,2,27
N06,2,2,34
N06,3,2,41
N06,4,2,48
N06,1,3,32
N06,2,3,39
N06,3,3,46
N06,4,3,12
N06,1,4,37
N06,2,4,44
N06,3,4,10
N06,4,4,17
N07,1,1,33
N07,2,1,40
N07,3,1,47
N07,4,1,13
N07,1,2,38
N07,2,2,45
N07,3,2,11
N07,4,2,18
N07,1,3,43
N07,2,3,9
N07,3,3,16
N07,4,3,23
N07,1,4,48
N07,2,4,14
N07,3,4,21
N07,4,4,28
N08,1,1,44
N08,2,1,10
N08,3,1,17
N08,4,1,24
N08,1,2,8
N08,2,2,15
N08,3,2,22
N08,4,2,29
N08,1,3,13
N08,2,3,20
N08,3,3,27
N08,4,3,34
N08,1,4,18
N08,2,4,25
N08,3,4,32
N08,4,4,39
N09,1,1,14
N09,2,1,21
N09,3,1,28
N09,4,1,35
N09,1,2,19
N09,2,2,26
N09,3,2,33
N09,4,2,40
N09,1,3,24
N09,2,3,31
N09,3,3,38
N09,4,3,45
N09,1,4,29
N09,2,4,36
N09,3,4,43
N09,4,4,9
N10,1,1,25
N10,2,1,32
N10,3,1,39
N10,4,1,46
N10,1,2,30
N10,2,2,37
N10,3,2,44
N10,4,2,10
N10,1,3,35
N10,2,3,42
N10,3,3,8
N10,4,3,15
N10,1,4,40
N10,2,4,47
N10,3,4,13
N10,4,4,20
N11,1,1,36
N11,2,1,43
N11,3,1,9
N11,4,1,16
N11,1,2,41
N11,2,2,48
N11,3,2,14
N11,4,2,21
N11,1,3,46
N11,2,3,12
N11,3,3,19
N11,4,3,26
N11,1,4,10
N11,2,4,17
N11,3,4,24
N11,4,4,31
N12,1,1,47
N12,2,1,13
N12,3,1,20
N12,4,1,27
N12,1,2,11
N12,2,2,18
N12,3,2,25
N12,4,2,32
N12,1,3,16
N12,2,3,23
N12,3,3,30
N12,4,3,37
N12,1,4,21
N12,2,4,28
N12,3,4,35
N12,4,4,42
N13,1,1,17
N13,2,1,24
N13,3,1,31
N13,4,1,38
N13,1,2,22
N13,2,2,29
N13,3,2,36
N13,4,2,43
N13,1,3,27
N13,2,3,34
N13,3,3,41
N13,4,3,48
N13,1,4,32
N13,2,4,39
N13,3,4,46
N13,4,4,12
N14,1,1,28
N14,2,1,35
N14,3,1,42
N14,4,1,8
N14,1,2,33
N14,2,2,40
N14,3,2,47
N14,4,2,13
N14,1,3,38
N14,2,3,45
N14,3,3,11
N14,4,3,18
N14,1,4,43
N14,2,4,9
N14,3,4,16
N14,4,4,23
N15,1,1,39
N15,2,1,46
N15,3,1,12
N15,4,1,19
N15,1,2,44
N15,2,2,10
N15,3,2,17
N15,4,2,24
N15,1,3,8
N15,2,3,15
N15,3,3,22
N15,4,3,29
N15,1,4,13
N15,2,4,20
N15,3,4,27
N15,4,4,34
N16,1,1,9
N16,2,1,16
N16,3,1,23
N16,4,1,30
N16,1,2,14
N16,2,2,21
N16,3,2,28
N16,4,2,35
N16,1,3,19
N16,2,3,26
N16,3,3,33
N16,4,3,40
N16,1,4,24
N16,2,4,31
N16,3,4,38
N16,4,4,45
