node_id,period,signal
N01,1,49.0
N01,2,51.6
N01,3,44.0
N01,4,31.8
N01,5,24.3
N01,6,27.2
N02,1,53.6
N02,2,45.1
N02,3,33.0
N02,4,26.5
N02,5,30.5
N02,6,42.0
N03,1,46.1
N03,2,34.2
N03,3,28.8
N03,4,34.0
N03,5,45.8
N03,6,55.4
N04,1,35.6
N04,2,31.3
N04,3,37.5
N04,4,49.6
N04,5,58.3
N04,6,57.2
N05,1,33.8
N05,2,41.1
N05,3,53.3
N05,4,61.2
N05,5,58.8
N05,6,47.9
N06,1,44.8
N06,2,56.9
N06,3,63.8
N06,4,60.3
N06,5,48.9
N06,6,38.4
N07,1,60.5
N07,2,66.4
N07,3,61.7
N07,4,50.0
N07,5,40.1
N07,6,39.5
N08,1,68.8
N08,2,63.0
N08,3,51.0
N08,4,41.9
N08,5,42.5
N08,6,52.5
N09,1,64.2
N09,2,52.1
N09,3,43.8
N09,4,45.7
N09,5,56.3
N09,6,67.6
N10,1,53.2
N10,2,45.9
N10,3,48.9
N10,4,60.1
N10,5,70.9
N10,6,73.1
N11,1,48.1
N11,2,52.3
N11,3,63.9
N11,4,74.0
N11,5,75.1
N11,6,66.2
N12,1,55.7
N12,2,67.6
N12,3,77.1
N12,4,76.9
N12,5,67.3
N12,6,55.5
N13,1,71.4
N13,2,80.0
N13,3,78.6
N13,4,68.3
N13,5,56.8
N13,6,52.9
N14,1,82.8
N14,2,80.2
N14,3,69.3
N14,4,58.3
N14,5,55.5
N14,6,63.1
N15,1,81.7
N15,2,70.3
N15,3,59.9
N15,4,58.3
N15,5,66.8
N15,6,78.9
N16,1,71.3
N16,2,61.6
N16,3,61.2
N16,4,70.5
N16,5,82.5
N16,6,88.0
