source,target,weight,kind
N01,N02,3,local
N01,N05,6,bridge
N02,N03,6,local
N02,N06,9,bridge
N03,N04,9,local
N03,N07,4,bridge
N04,N05,4,local
N04,N08,7,bridge
N05,N06,7,local
N05,N09,2,bridge
N06,N07,2,local
N06,N10,5,bridge
N07,N08,5,local
N07,N11,8,bridge
N08,N09,8,local
N08,N12,3,bridge
N09,N10,3,local
N09,N13,6,bridge
N10,N11,6,local
N10,N14,9,bridge
N11,N12,9,local
N11,N15,4,bridge
N12,N13,4,local
N12,N16,7,bridge
N13,N14,7,local
N13,N01,2,bridge
N14,N15,2,local
N14,N02,5,bridge
N15,N16,5,local
N15,N03,8,bridge
N16,N01,8,local
N16,N04,3,bridge
