node_id,metric,value
N01,Trust,38
N01,Reach,55
N01,Novelty,72
N01,Depth,89
N01,Speed,49
N02,Trust,51
N02,Reach,68
N02,Novelty,85
N02,Depth,45
N02,Speed,62
N03,Trust,64
N03,Reach,81
N03,Novelty,41
N03,Depth,58
N03,Speed,75
N04,Trust,77
N04,Reach,94
N04,Novelty,54
N04,Depth,71
N04,Speed,88
N05,Trust,90
N05,Reach,50
N05,Novelty,67
N05,Depth,84
N05,Speed,44
N06,Trust,46
N06,Reach,63
N06,Novelty,80
N06,Depth,40
N06,Speed,57
N07,Trust,59
N07,Reach,76
N07,Novelty,93
N07,Depth,53
N07,Speed,70
N08,Trust,72
N08,Reach,89
N08,Novelty,49
N08,Depth,66
N08,Speed,83
N09,Trust,85
N09,Reach,45
N09,Novelty,62
N09,Depth,79
N09,Speed,39
N10,Trust,41
N10,Reach,58
N10,Novelty,75
N10,Depth,92
N10,Speed,52
N11,Trust,54
N11,Reach,71
N11,Novelty,88
N11,Depth,48
N11,Speed,65
N12,Trust,67
N12,Reach,84
N12,Novelty,44
N12,Depth,61
N12,Speed,78
N13,Trust,80
N13,Reach,40
N13,Novelty,57
N13,Depth,74
N13,Speed,91
N14,Trust,93
N14,Reach,53
N14,Novelty,70
N14,Depth,87
N14,Speed,47
N15,Trust,49
N15,Reach,66
N15,Novelty,83
N15,Depth,43
N15,Speed,60
N16,Trust,62
N16,Reach,79
N16,Novelty,39
N16,Depth,56
N16,Speed,73
