athlete,metric,score,training_load,session_count
Aster,Speed,58,42,3
Aster,Power,67,49,4
Aster,Endurance,76,56,5
Aster,Agility,85,63,6
Aster,Recovery,94,70,7
Aster,Technique,64,77,3
Boreal,Speed,71,53,4
Boreal,Power,83,60,5
Boreal,Endurance,95,67,6
Boreal,Agility,68,74,7
Boreal,Recovery,80,81,3
Boreal,Technique,92,88,4
Cinder,Speed,84,64,5
Cinder,Power,60,71,6
Cinder,Endurance,75,78,7
Cinder,Agility,90,85,3
Cinder,Recovery,66,44,4
Cinder,Technique,81,51,5
Dune,Speed,58,75,6
Dune,Power,76,82,7
Dune,Endurance,94,89,3
Dune,Agility,73,48,4
Dune,Recovery,91,55,5
Dune,Technique,70,62,6
