sample_index,segment,efficiency,quality,adoption,resilience,satisfaction
1.0,Enterprise,58.0,94.0,35.0,53.0,52.0
2.0,Public,66.9,91.5,40.1,67.9,66.5
3.0,Consumer,75.1,88.2,45.0,82.1,80.4
4.0,Enterprise,70.2,84.4,49.7,53.8,93.5
5.0,Public,76.0,80.1,53.8,67.1,63.0
6.0,Consumer,80.6,75.8,57.4,80.5,74.1
7.0,Enterprise,72.5,71.8,60.5,52.6,84.6
8.0,Public,76.4,68.2,63.0,67.2,52.6
9.0,Consumer,80.9,65.3,64.9,82.8,63.6
10.0,Enterprise,74.6,63.2,66.4,57.5,75.5
11.0,Public,81.6,82.9,67.7,74.6,88.5
12.0,Consumer,89.7,82.3,68.8,50.3,59.9
13.0,Enterprise,57.8,82.2,69.9,67.8,74.3
14.0,Public,66.7,82.3,71.2,84.8,88.8
15.0,Consumer,75.0,82.3,72.8,59.4,60.4
16.0,Enterprise,70.2,82.0,75.0,74.9,73.5
17.0,Public,76.1,81.0,28.0,89.5,85.6
18.0,Consumer,80.8,79.3,31.3,61.6,54.2
19.0,Enterprise,72.7,76.8,35.1,75.0,64.8
20.0,Public,76.6,73.5,39.4,46.4,75.2
21.0,Consumer,81.1,90.6,44.1,60.0,86.2
22.0,Enterprise,74.6,86.4,49.2,74.2,55.5
23.0,Public,81.5,82.1,54.3,47.4,68.4
24.0,Consumer,89.6,78.0,59.3,63.3,82.2
25.0,Enterprise,57.6,74.5,64.2,80.1,54.2
26.0,Public,66.5,71.6,68.7,55.6,68.7
27.0,Consumer,74.9,69.5,72.7,73.1,82.8
28.0,Enterprise,70.2,68.2,76.1,90.5,96.0
29.0,Public,76.2,67.6,79.0,65.5,65.6
30.0,Consumer,80.9,67.5,81.2,81.6,76.8
31.0,Enterprise,72.9,88.6,83.0,54.9,87.4
32.0,Public,76.8,88.6,84.4,69.2,55.4
33.0,Consumer,81.2,88.3,36.0,82.8,66.3
34.0,Enterprise,74.6,87.3,37.1,54.3,78.0
35.0,Public,81.4,85.6,38.2,67.7,48.3
36.0,Consumer,89.4,83.1,39.7,81.4,62.1
37.0,Enterprise,57.4,79.8,41.5,54.1,76.5
38.0,Public,66.3,75.9,43.7,69.5,91.0
39.0,Consumer,74.7,71.7,46.6,44.0,62.7
40.0,Enterprise,70.2,67.4,50.0,61.0,76.0
41.0,Public,76.2,84.3,54.0,78.4,88.2
42.0,Consumer,81.1,80.7,58.5,54.1,57.0
43.0,Enterprise,73.2,77.9,63.4,71.3,67.6
44.0,Public,77.0,75.8,68.4,87.9,78.1
45.0,Consumer,81.3,74.6,73.5,61.8,88.9
46.0,Enterprise,74.7,74.0,78.6,76.6,58.1
47.0,Public,81.3,73.9,83.3,90.6,70.8
48.0,Consumer,89.2,74.0,87.6,62.2,84.4
