district_id,region,month,temperature_anomaly,exposure,heat,flood,wind,fire,total_risk
Coast-1,Coast,1,-0.88,62,23,11,17,6,57
Highland-1,Highland,1,-0.77,75,28,18,20,8,74
River-1,River,1,-0.66,88,33,25,23,10,91
Dryland-1,Dryland,1,-0.55,63,38,8,26,12,84
Coast-2,Coast,2,-0.72,69,26,14,22,6,68
Highland-2,Highland,2,-0.61,82,31,21,25,8,85
River-2,River,2,-0.5,57,36,28,28,10,102
Dryland-2,Dryland,2,-0.38999999999999996,70,36,11,31,12,90
Coast-3,Coast,3,-0.56,76,29,17,27,6,79
Highland-3,Highland,3,-0.45000000000000007,89,34,24,30,8,96
River-3,River,3,-0.3400000000000001,64,34,31,12,10,87
Dryland-3,Dryland,3,-0.23000000000000004,77,39,14,15,12,80
Coast-4,Coast,4,-0.4,83,32,20,32,6,90
Highland-4,Highland,4,-0.29000000000000004,58,32,27,14,8,81
River-4,River,4,-0.18000000000000002,71,37,10,17,10,74
Dryland-4,Dryland,4,-0.07,84,42,17,20,12,91
Coast-5,Coast,5,-0.24,90,30,23,16,6,75
Highland-5,Highland,5,-0.13,65,35,30,19,8,92
River-5,River,5,-0.01999999999999999,78,40,13,22,10,85
Dryland-5,Dryland,5,0.09000000000000002,91,45,20,25,12,102
Coast-6,Coast,6,-0.08,59,33,26,21,9,89
Highland-6,Highland,6,0.03,72,38,9,24,11,82
River-6,River,6,0.14,85,43,16,27,13,99
Dryland-6,Dryland,6,0.25,60,48,23,30,15,116
Coast-7,Coast,7,0.08,66,36,29,26,12,103
Highland-7,Highland,7,0.19,79,41,12,29,14,96
River-7,River,7,0.3,92,46,19,32,16,113
Dryland-7,Dryland,7,0.41000000000000003,67,46,26,14,18,104
Coast-8,Coast,8,0.24,73,39,8,31,15,93
Highland-8,Highland,8,0.35,86,44,15,13,17,89
River-8,River,8,0.45999999999999996,61,44,22,16,19,101
Dryland-8,Dryland,8,0.5700000000000001,74,49,29,19,21,118
Coast-9,Coast,9,0.4,80,42,11,15,18,86
Highland-9,Highland,9,0.51,55,42,18,18,20,98
River-9,River,9,0.62,68,47,25,21,22,115
Dryland-9,Dryland,9,0.73,81,52,8,24,24,108
Coast-10,Coast,10,0.56,87,40,14,20,21,95
Highland-10,Highland,10,0.67,62,45,21,23,23,112
River-10,River,10,0.78,75,50,28,26,25,129
Dryland-10,Dryland,10,0.8900000000000001,88,55,11,29,27,122
Coast-11,Coast,11,0.72,56,43,17,25,24,109
Highland-11,Highland,11,0.83,69,48,24,28,26,126
River-11,River,11,0.94,82,53,31,31,28,143
Dryland-11,Dryland,11,1.05,57,58,14,13,30,115
Coast-12,Coast,12,0.88,63,46,20,30,27,123
Highland-12,Highland,12,0.99,76,51,27,12,29,119
River-12,River,12,1.1,89,56,10,15,31,112
Dryland-12,Dryland,12,1.21,64,56,17,18,33,124
