touchpoint_id,stage,segment,satisfaction,effort,duration_days,web,store,advisor,engagement
0-0-0,Discover,Explorer,42,78,3,18,10,6,34
0-0-1,Discover,Explorer,44,77,3.4,19,11,7,37
0-0-2,Discover,Explorer,46,76,3.8,20,12,8,40
0-0-3,Discover,Explorer,48,75,4.2,21,13,9,43
0-1-0,Discover,Planner,39,82,3.8,23,14,7,44
0-1-1,Discover,Planner,41,81,4.2,24,15,8,47
0-1-2,Discover,Planner,43,80,4.6,25,16,9,50
0-1-3,Discover,Planner,45,79,5,26,17,6,49
0-2-0,Discover,Urgent,36,86,4.6,28,18,8,54
0-2-1,Discover,Urgent,38,85,5,29,19,9,57
0-2-2,Discover,Urgent,40,84,5.3999999999999995,30,20,6,56
0-2-3,Discover,Urgent,42,83,5.8,31,21,7,59
1-0-0,Compare,Explorer,50,73,4.7,22,11,8,41
1-0-1,Compare,Explorer,52,72,5.1000000000000005,23,12,9,44
1-0-2,Compare,Explorer,54,71,5.5,24,13,10,47
1-0-3,Compare,Explorer,56,70,5.9,25,14,11,50
1-1-0,Compare,Planner,47,77,5.5,27,15,9,51
1-1-1,Compare,Planner,49,76,5.9,28,16,10,54
1-1-2,Compare,Planner,51,75,6.3,29,17,11,57
1-1-3,Compare,Planner,53,74,6.7,30,18,8,56
1-2-0,Compare,Urgent,44,81,6.300000000000001,32,19,10,61
1-2-1,Compare,Urgent,46,80,6.700000000000001,33,20,11,64
1-2-2,Compare,Urgent,48,79,7.1000000000000005,34,21,8,63
1-2-3,Compare,Urgent,50,78,7.500000000000001,35,22,9,66
2-0-0,Trial,Explorer,58,68,6.4,26,12,10,48
2-0-1,Trial,Explorer,60,67,6.800000000000001,27,13,11,51
2-0-2,Trial,Explorer,62,66,7.2,28,14,12,54
2-0-3,Trial,Explorer,64,65,7.6000000000000005,29,10,13,52
2-1-0,Trial,Planner,55,72,7.2,31,16,11,58
2-1-1,Trial,Planner,57,71,7.6000000000000005,32,17,12,61
2-1-2,Trial,Planner,59,70,8,33,18,13,64
2-1-3,Trial,Planner,61,69,8.4,34,14,10,58
2-2-0,Trial,Urgent,52,76,8,36,20,12,68
2-2-1,Trial,Urgent,54,75,8.4,37,21,13,71
2-2-2,Trial,Urgent,56,74,8.8,38,22,10,70
2-2-3,Trial,Urgent,58,73,9.2,39,18,11,68
3-0-0,Purchase,Explorer,66,63,8.1,30,13,12,55
3-0-1,Purchase,Explorer,68,62,8.5,31,14,13,58
3-0-2,Purchase,Explorer,70,61,8.9,32,10,14,56
3-0-3,Purchase,Explorer,72,60,9.3,33,11,15,59
3-1-0,Purchase,Planner,63,67,8.9,35,17,13,65
3-1-1,Purchase,Planner,65,66,9.3,36,18,14,68
3-1-2,Purchase,Planner,67,65,9.700000000000001,37,14,15,66
3-1-3,Purchase,Planner,69,64,10.100000000000001,38,15,12,65
3-2-0,Purchase,Urgent,60,71,9.7,40,21,14,75
3-2-1,Purchase,Urgent,62,70,10.1,41,22,15,78
3-2-2,Purchase,Urgent,64,69,10.5,42,18,12,72
3-2-3,Purchase,Urgent,66,68,10.899999999999999,43,19,13,75
4-0-0,Support,Explorer,74,58,9.8,34,14,14,62
4-0-1,Support,Explorer,76,57,10.200000000000001,35,10,15,60
4-0-2,Support,Explorer,78,56,10.600000000000001,36,11,16,63
4-0-3,Support,Explorer,80,55,11,37,12,17,66
4-1-0,Support,Planner,71,62,10.600000000000001,39,18,15,72
4-1-1,Support,Planner,73,61,11.000000000000002,40,14,16,70
4-1-2,Support,Planner,75,60,11.400000000000002,41,15,17,73
4-1-3,Support,Planner,77,59,11.8,42,16,14,72
4-2-0,Support,Urgent,68,66,11.4,44,22,16,82
4-2-1,Support,Urgent,70,65,11.8,45,18,17,80
4-2-2,Support,Urgent,72,64,12.200000000000001,46,19,14,79
4-2-3,Support,Urgent,74,63,12.600000000000001,47,20,15,82
5-0-0,Renew,Explorer,82,53,11.5,38,10,16,64
5-0-1,Renew,Explorer,84,52,11.9,39,11,17,67
5-0-2,Renew,Explorer,86,51,12.3,40,12,18,70
5-0-3,Renew,Explorer,88,50,12.7,41,13,19,73
5-1-0,Renew,Planner,79,57,12.3,43,14,17,74
5-1-1,Renew,Planner,81,56,12.700000000000001,44,15,18,77
5-1-2,Renew,Planner,83,55,13.100000000000001,45,16,19,80
5-1-3,Renew,Planner,85,54,13.5,46,17,16,79
5-2-0,Renew,Urgent,76,61,13.1,48,18,18,84
5-2-1,Renew,Urgent,78,60,13.5,49,19,19,87
5-2-2,Renew,Urgent,80,59,13.9,50,20,16,86
5-2-3,Renew,Urgent,82,58,14.3,51,21,17,89
