node_id,parent_id,level,carbon_tons,moisture
forest,,Biome,1000,55
Canopy,forest,Layer,430,48
canopy-1,Canopy,Plot,121,40
canopy-1-s1,canopy-1,Species,43,32
canopy-1-s2,canopy-1,Species,49,37
canopy-2,Canopy,Plot,132,44
canopy-2-s1,canopy-2,Species,48,35
canopy-2-s2,canopy-2,Species,54,40
canopy-3,Canopy,Plot,143,48
canopy-3-s1,canopy-3,Species,53,38
canopy-3-s2,canopy-3,Species,59,43
Understory,forest,Layer,360,56
understory-1,Understory,Plot,139,49
understory-1-s1,understory-1,Species,51,42
understory-1-s2,understory-1,Species,57,47
understory-2,Understory,Plot,150,53
understory-2-s1,understory-2,Species,56,45
understory-2-s2,understory-2,Species,62,50
understory-3,Understory,Plot,161,57
understory-3-s1,understory-3,Species,61,48
understory-3-s2,understory-3,Species,67,53
Soil,forest,Layer,290,64
soil-1,Soil,Plot,157,58
soil-1-s1,soil-1,Species,59,52
soil-1-s2,soil-1,Species,65,57
soil-2,Soil,Plot,168,62
soil-2-s1,soil-2,Species,64,55
soil-2-s2,soil-2,Species,70,60
soil-3,Soil,Plot,179,66
soil-3-s1,soil-3,Species,69,58
soil-3-s2,soil-3,Species,75,63
