borough,created_year,created_month_name,incident_zip,city_cleaned_group,city_or_zip_label,location_type_clean,sighting_count
BRONX,2010,Jan,10452,Bronx,10452,3+ Family Apt. Building,12
BRONX,2010,Jan,10452,Bronx,10452,3+ Family Mixed Use Building,2
BRONX,2010,Jan,10453,Bronx,10453,3+ Family Apt. Building,6
BRONX,2010,Jan,10453,Bronx,10453,3+ Family Mixed Use Building,2
BRONX,2010,Jan,10453,Bronx,10453,Other,3
BRONX,2010,Jan,10453,Bronx,10453,Vacant Lot,1
BRONX,2010,Jan,10454,Bronx,10454,1-2 Family Dwelling,1
BRONX,2010,Jan,10454,Bronx,10454,3+ Family Apt. Building,2
BRONX,2010,Jan,10455,Bronx,10455,3+ Family Apt. Building,5
BRONX,2010,Jan,10455,Bronx,10455,3+ Family Mixed Use Building,2
BRONX,2010,Jan,10456,Bronx,10456,1-2 Family Dwelling,2
BRONX,2010,Jan,10456,Bronx,10456,3+ Family Apt. Building,8
BRONX,2010,Jan,10456,Bronx,10456,3+ Family Mixed Use Building,1
BRONX,2010,Jan,10456,Bronx,10456,Vacant Lot,1
BRONX,2010,Jan,10457,Bronx,10457,3+ Family Apt. Building,7
BRONX,2010,Jan,10457,Bronx,10457,3+ Family Mixed Use Building,4
BRONX,2010,Jan,10457,Bronx,10457,Other,4
BRONX,2010,Jan,10457,Bronx,10457,Vacant Lot,2
BRONX,2010,Jan,10458,Bronx,10458,3+ Family Apt. Building,13
BRONX,2010,Jan,10458,Bronx,10458,3+ Family Mixed Use Building,1
BRONX,2010,Jan,10458,Bronx,10458,Other,1
BRONX,2010,Jan,10459,Bronx,10459,3+ Family Apt. Building,3
BRONX,2010,Jan,10459,Bronx,10459,Other,4
BRONX,2010,Jan,10459,Bronx,10459,Vacant Building,1
BRONX,2010,Jan,10459,Bronx,10459,Vacant Lot,2
BRONX,2010,Jan,10460,Bronx,10460,1-2 Family Dwelling,2
BRONX,2010,Jan,10460,Bronx,10460,3+ Family Apt. Building,4
BRONX,2010,Jan,10460,Bronx,10460,3+ Family Mixed Use Building,1
BRONX,2010,Jan,10462,Bronx,10462,1-2 Family Dwelling,1
BRONX,2010,Jan,10462,Bronx,10462,3+ Family Apt. Building,2
BRONX,2010,Jan,10462,Bronx,10462,Commercial Building,1
BRONX,2010,Jan,10462,Bronx,10462,Other,1
BRONX,2010,Jan,10463,Bronx,10463,1-2 Family Dwelling,2
BRONX,2010,Jan,10463,Bronx,10463,3+ Family Apt. Building,1
BRONX,2010,Jan,10465,Bronx,10465,1-2 Family Dwelling,2
BRONX,2010,Jan,10465,Bronx,10465,Vacant Lot,2
BRONX,2010,Jan,10466,Bronx,10466,1-2 Family Dwelling,1
BRONX,2010,Jan,10466,Bronx,10466,3+ Family Apt. Building,1
BRONX,2010,Jan,10466,Bronx,10466,3+ Family Mixed Use Building,1
BRONX,2010,Jan,10466,Bronx,10466,Parking Lot/Garage,1
BRONX,2010,Jan,10466,Bronx,10466,Vacant Building,1
BRONX,2010,Jan,10467,Bronx,10467,3+ Family Apt. Building,7
BRONX,2010,Jan,10467,Bronx,10467,3+ Family Mixed Use Building,2
BRONX,2010,Jan,10467,Bronx,10467,Commercial Building,1
BRONX,2010,Jan,10467,Bronx,10467,Other,1
BRONX,2010,Jan,10467,Bronx,10467,Vacant Lot,2
BRONX,2010,Jan,10468,Bronx,10468,3+ Family Apt. Building,7
BRONX,2010,Jan,10468,Bronx,10468,3+ Family Mixed Use Building,1
BRONX,2010,Jan,10469,Bronx,10469,Vacant Building,1
BRONX,2010,Jan,10470,Bronx,10470,1-2 Family Dwelling,1
BRONX,2010,Jan,10470,Bronx,10470,3+ Family Apt. Building,1
BRONX,2010,Jan,10471,Bronx,10471,Other,2
BRONX,2010,Jan,10472,Bronx,10472,1-2 Family Dwelling,6
BRONX,2010,Jan,10472,Bronx,10472,3+ Family Apt. Building,5
BRONX,2010,Jan,10472,Bronx,10472,3+ Family Mixed Use Building,1
BRONX,2010,Jan,10472,Bronx,10472,Construction Site,1
BRONX,2010,Jan,10473,Bronx,10473,1-2 Family Mixed Use Building,1
BRONX,2010,Jan,10473,Bronx,10473,3+ Family Apt. Building,1
BRONX,2010,Jan,10473,Bronx,10473,3+ Family Mixed Use Building,1
BRONX,2010,Feb,10451,Bronx,10451,Commercial Building,1
BRONX,2010,Feb,10452,Bronx,10452,3+ Family Apt. Building,5
BRONX,2010,Feb,10452,Bronx,10452,Other,1
BRONX,2010,Feb,10453,Bronx,10453,3+ Family Apt. Building,7
BRONX,2010,Feb,10453,Bronx,10453,3+ Family Mixed Use Building,2
BRONX,2010,Feb,10454,Bronx,10454,3+ Family Apt. Building,3
BRONX,2010,Feb,10455,Bronx,10455,3+ Family Apt. Building,3
BRONX,2010,Feb,10455,Bronx,10455,3+ Family Mixed Use Building,1
BRONX,2010,Feb,10456,Bronx,10456,1-2 Family Dwelling,1
BRONX,2010,Feb,10456,Bronx,10456,3+ Family Apt. Building,9
BRONX,2010,Feb,10456,Bronx,10456,3+ Family Mixed Use Building,1
BRONX,2010,Feb,10456,Bronx,10456,Parking Lot/Garage,1
BRONX,2010,Feb,10457,Bronx,10457,1-2 Family Mixed Use Building,1
BRONX,2010,Feb,10457,Bronx,10457,3+ Family Apt. Building,5
BRONX,2010,Feb,10457,Bronx,10457,3+ Family Mixed Use Building,1
BRONX,2010,Feb,10457,Bronx,10457,Other,1
BRONX,2010,Feb,10457,Bronx,10457,Vacant Building,1
BRONX,2010,Feb,10457,Bronx,10457,Vacant Lot,1
BRONX,2010,Feb,10458,Bronx,10458,1-2 Family Dwelling,2
BRONX,2010,Feb,10458,Bronx,10458,3+ Family Apt. Building,8
BRONX,2010,Feb,10458,Bronx,10458,3+ Family Mixed Use Building,1
BRONX,2010,Feb,10458,Bronx,10458,Other,1
BRONX,2010,Feb,10458,Bronx,10458,Parking Lot/Garage,1
BRONX,2010,Feb,10459,Bronx,10459,1-2 Family Dwelling,1
BRONX,2010,Feb,10459,Bronx,10459,3+ Family Apt. Building,5
BRONX,2010,Feb,10459,Bronx,10459,3+ Family Mixed Use Building,2
BRONX,2010,Feb,10459,Bronx,10459,Other,1
BRONX,2010,Feb,10459,Bronx,10459,Vacant Lot,2
BRONX,2010,Feb,10460,Bronx,10460,1-2 Family Dwelling,2
BRONX,2010,Feb,10460,Bronx,10460,3+ Family Apt. Building,5
BRONX,2010,Feb,10460,Bronx,10460,Commercial Building,1
BRONX,2010,Feb,10460,Bronx,10460,Other,1
BRONX,2010,Feb,10461,Bronx,10461,3+ Family Apt. Building,1
BRONX,2010,Feb,10461,Bronx,10461,Other,1
BRONX,2010,Feb,10461,Bronx,10461,Vacant Lot,1
BRONX,2010,Feb,10462,Bronx,10462,3+ Family Apt. Building,1
BRONX,2010,Feb,10463,Bronx,10463,1-2 Family Dwelling,2
BRONX,2010,Feb,10463,Bronx,10463,Other,1
BRONX,2010,Feb,10465,Bronx,10465,1-2 Family Dwelling,1
BRONX,2010,Feb,10465,Bronx,10465,Catch Basin/Sewer,1
BRONX,2010,Feb,10466,Bronx,10466,1-2 Family Dwelling,2
BRONX,2010,Feb,10466,Bronx,10466,3+ Family Apt. Building,2
BRONX,2010,Feb,10467,Bronx,10467,1-2 Family Dwelling,3
BRONX,2010,Feb,10467,Bronx,10467,1-2 Family Mixed Use Building,1
BRONX,2010,Feb,10467,Bronx,10467,3+ Family Apt. Building,6
BRONX,2010,Feb,10467,Bronx,10467,3+ Family Mixed Use Building,1
BRONX,2010,Feb,10467,Bronx,10467,Construction Site,1
BRONX,2010,Feb,10467,Bronx,10467,Vacant Building,1
BRONX,2010,Feb,10468,Bronx,10468,3+ Family Apt. Building,5
BRONX,2010,Feb,10468,Bronx,10468,3+ Family Mixed Use Building,1
BRONX,2010,Feb,10468,Bronx,10468,Other,1
BRONX,2010,Feb,10469,Bronx,10469,1-2 Family Dwelling,2
BRONX,2010,Feb,10469,Bronx,10469,3+ Family Mixed Use Building,1
BRONX,2010,Feb,10472,Bronx,10472,1-2 Family Dwelling,2
BRONX,2010,Feb,10472,Bronx,10472,3+ Family Apt. Building,2
BRONX,2010,Feb,10472,Bronx,10472,3+ Family Mixed Use Building,2
BRONX,2010,Feb,10472,Bronx,10472,Other,1
BRONX,2010,Feb,10472,Bronx,10472,Vacant Lot,1
BRONX,2010,Feb,10473,Bronx,10473,1-2 Family Dwelling,1
BRONX,2010,Feb,10473,Bronx,10473,3+ Family Apt. Building,2
BRONX,2010,Feb,10474,Bronx,10474,1-2 Family Dwelling,1
BRONX,2010,Feb,10474,Bronx,10474,3+ Family Apt. Building,2
BRONX,2010,Mar,,,,Other,1
BRONX,2010,Mar,10451,Bronx,10451,3+ Family Apt. Building,10
BRONX,2010,Mar,10451,Bronx,10451,3+ Family Mixed Use Building,2
BRONX,2010,Mar,10451,Bronx,10451,Office Building,1
BRONX,2010,Mar,10451,Bronx,10451,Other,1
BRONX,2010,Mar,10452,Bronx,10452,3+ Family Apt. Building,3
BRONX,2010,Mar,10452,Bronx,10452,3+ Family Mixed Use Building,1
BRONX,2010,Mar,10453,Bronx,10453,1-2 Family Dwelling,1
BRONX,2010,Mar,10453,Bronx,10453,1-2 Family Mixed Use Building,1
BRONX,2010,Mar,10453,Bronx,10453,3+ Family Apt. Building,3
BRONX,2010,Mar,10453,Bronx,10453,3+ Family Mixed Use Building,1
BRONX,2010,Mar,10454,Bronx,10454,3+ Family Apt. Building,3
BRONX,2010,Mar,10455,Bronx,10455,3+ Family Apt. Building,2
BRONX,2010,Mar,10455,Bronx,10455,3+ Family Mixed Use Building,1
BRONX,2010,Mar,10455,Bronx,10455,Commercial Building,1
BRONX,2010,Mar,10456,Bronx,10456,1-2 Family Mixed Use Building,1
BRONX,2010,Mar,10456,Bronx,10456,3+ Family Apt. Building,12
BRONX,2010,Mar,10456,Bronx,10456,3+ Family Mixed Use Building,1
BRONX,2010,Mar,10456,Bronx,10456,Other,2
BRONX,2010,Mar,10457,Bronx,10457,3+ Family Apt. Building,5
BRONX,2010,Mar,10457,Bronx,10457,3+ Family Mixed Use Building,2
BRONX,2010,Mar,10457,Bronx,10457,Commercial Building,1
BRONX,2010,Mar,10458,Bronx,10458,3+ Family Apt. Building,9
BRONX,2010,Mar,10458,Bronx,10458,3+ Family Mixed Use Building,2
BRONX,2010,Mar,10458,Bronx,10458,Other,1
BRONX,2010,Mar,10458,Bronx,10458,Parking Lot/Garage,1
BRONX,2010,Mar,10458,Bronx,10458,Vacant Building,1
BRONX,2010,Mar,10459,Bronx,10459,1-2 Family Dwelling,3
BRONX,2010,Mar,10459,Bronx,10459,1-2 Family Mixed Use Building,1
BRONX,2010,Mar,10459,Bronx,10459,3+ Family Apt. Building,4
BRONX,2010,Mar,10459,Bronx,10459,Other,2
BRONX,2010,Mar,10459,Bronx,10459,Vacant Lot,3
BRONX,2010,Mar,10460,Bronx,10460,1-2 Family Dwelling,2
BRONX,2010,Mar,10460,Bronx,10460,3+ Family Apt. Building,7
BRONX,2010,Mar,10460,Bronx,10460,Catch Basin/Sewer,1
BRONX,2010,Mar,10460,Bronx,10460,Commercial Building,1
BRONX,2010,Mar,10460,Bronx,10460,Other,2
BRONX,2010,Mar,10460,Bronx,10460,Vacant Lot,3
BRONX,2010,Mar,10461,Bronx,10461,Vacant Lot,1
