id,island_id,name,month,cargo,passenger,relief,total
A1,A1,Aster,1,39,23,10,72
A1,A1,Aster,2,43,28,13,84
A1,A1,Aster,3,47,20,16,83
A1,A1,Aster,4,51,25,19,95
A1,A1,Aster,5,55,30,7,92
A1,A1,Aster,6,59,22,10,91
B2,B2,Beryl,1,44,26,14,84
B2,B2,Beryl,2,48,31,17,96
B2,B2,Beryl,3,52,23,20,95
B2,B2,Beryl,4,56,28,8,92
B2,B2,Beryl,5,60,33,11,104
B2,B2,Beryl,6,64,25,14,103
C3,C3,Cobalt,1,49,29,18,96
C3,C3,Cobalt,2,53,34,21,108
C3,C3,Cobalt,3,57,26,9,92
C3,C3,Cobalt,4,61,31,12,104
C3,C3,Cobalt,5,65,36,15,116
C3,C3,Cobalt,6,69,28,18,115
D4,D4,Drift,1,54,32,7,93
D4,D4,Drift,2,58,37,10,105
D4,D4,Drift,3,62,29,13,104
D4,D4,Drift,4,66,34,16,116
D4,D4,Drift,5,70,39,19,128
D4,D4,Drift,6,74,31,7,112
E5,E5,Ember,1,59,35,11,105
E5,E5,Ember,2,63,40,14,117
E5,E5,Ember,3,67,32,17,116
E5,E5,Ember,4,71,37,20,128
E5,E5,Ember,5,75,42,8,125
E5,E5,Ember,6,79,34,11,124
F6,F6,Fjord,1,64,38,15,117
F6,F6,Fjord,2,68,43,18,129
F6,F6,Fjord,3,72,35,21,128
F6,F6,Fjord,4,76,40,9,125
F6,F6,Fjord,5,80,45,12,137
F6,F6,Fjord,6,84,37,15,136
G7,G7,Gale,1,69,41,19,129
G7,G7,Gale,2,73,46,7,126
G7,G7,Gale,3,77,38,10,125
G7,G7,Gale,4,81,43,13,137
G7,G7,Gale,5,85,48,16,149
G7,G7,Gale,6,89,40,19,148
H8,H8,Haven,1,74,44,8,126
H8,H8,Haven,2,78,49,11,138
H8,H8,Haven,3,82,41,14,137
H8,H8,Haven,4,86,46,17,149
H8,H8,Haven,5,90,51,20,161
H8,H8,Haven,6,94,43,8,145
