id,source,target,word,weight,topic
K1_1,Discover,Evaluate,signal,112,Awareness
K1_2,Discover,Evaluate,trend,94,Awareness
K1_3,Discover,Evaluate,context,78,Awareness
K1_4,Discover,Evaluate,relevance,64,Awareness
K1_5,Discover,Evaluate,evidence,34,Awareness
K1_6,Discover,Evaluate,credibility,32,Awareness
K1_7,Discover,Evaluate,landscape,32,Awareness
K1_8,Discover,Evaluate,momentum,30,Awareness
K1_9,Discover,Evaluate,curiosity,29,Awareness
K1_10,Discover,Evaluate,pattern,28,Awareness
K1_11,Discover,Evaluate,opportunity,27,Awareness
K1_12,Discover,Evaluate,discovery,25,Awareness
K1_13,Discover,Evaluate,question,25,Awareness
K1_14,Discover,Evaluate,insight,23,Awareness
K1_15,Discover,Evaluate,explore,22,Awareness
K1_16,Discover,Evaluate,observe,21,Awareness
K1_17,Discover,Evaluate,framing,20,Awareness
K1_18,Discover,Evaluate,priority,18,Awareness
K1_19,Discover,Evaluate,source,18,Awareness
K1_20,Discover,Evaluate,benchmark,16,Awareness
K1_21,Discover,Evaluate,emerging,15,Awareness
K1_22,Discover,Evaluate,attention,14,Awareness
K1_23,Discover,Evaluate,scan,13,Awareness
K1_24,Discover,Evaluate,meaning,11,Awareness
K2_1,Discover,Discuss,conversation,112,Community
K2_2,Discover,Discuss,dialogue,94,Community
K2_3,Discover,Discuss,community,78,Community
K2_4,Discover,Discuss,voices,64,Community
K2_5,Discover,Discuss,participation,34,Community
K2_6,Discover,Discuss,network,32,Community
K2_7,Discover,Discuss,feedback,32,Community
K2_8,Discover,Discuss,belonging,30,Community
K2_9,Discover,Discuss,perspective,29,Community
K2_10,Discover,Discuss,exchange,28,Community
K2_11,Discover,Discuss,listen,27,Community
K2_12,Discover,Discuss,connect,25,Community
K2_13,Discover,Discuss,debate,25,Community
K2_14,Discover,Discuss,collective,23,Community
K2_15,Discover,Discuss,public,22,Community
K2_16,Discover,Discuss,peers,21,Community
K2_17,Discover,Discuss,story,20,Community
K2_18,Discover,Discuss,resonance,18,Community
K2_19,Discover,Discuss,inclusion,18,Community
K2_20,Discover,Discuss,engagement,16,Community
K2_21,Discover,Discuss,forum,15,Community
K2_22,Discover,Discuss,discussion,14,Community
K2_23,Discover,Discuss,share,13,Community
K2_24,Discover,Discuss,response,11,Community
K3_1,Evaluate,Adopt,evidence,112,Trust
K3_2,Evaluate,Adopt,quality,94,Trust
K3_3,Evaluate,Adopt,reliable,78,Trust
K3_4,Evaluate,Adopt,proof,64,Trust
K3_5,Evaluate,Adopt,value,34,Trust
K3_6,Evaluate,Adopt,fit,32,Trust
K3_7,Evaluate,Adopt,benefit,32,Trust
K3_8,Evaluate,Adopt,usability,30,Trust
K3_9,Evaluate,Adopt,confidence,29,Trust
K3_10,Evaluate,Adopt,verification,28,Trust
K3_11,Evaluate,Adopt,performance,27,Trust
K3_12,Evaluate,Adopt,outcome,25,Trust
K3_13,Evaluate,Adopt,consistency,25,Trust
K3_14,Evaluate,Adopt,readiness,23,Trust
K3_15,Evaluate,Adopt,trust,22,Trust
K3_16,Evaluate,Adopt,validation,21,Trust
K3_17,Evaluate,Adopt,efficiency,20,Trust
K3_18,Evaluate,Adopt,impact,18,Trust
K3_19,Evaluate,Adopt,practicality,18,Trust
K3_20,Evaluate,Adopt,support,16,Trust
K3_21,Evaluate,Adopt,compatibility,15,Trust
K3_22,Evaluate,Adopt,durability,14,Trust
K3_23,Evaluate,Adopt,recommendation,13,Trust
K3_24,Evaluate,Adopt,assurance,11,Trust
K4_1,Evaluate,Reject,risk,112,Risk
K4_2,Evaluate,Reject,concern,94,Risk
K4_3,Evaluate,Reject,cost,78,Risk
K4_4,Evaluate,Reject,uncertainty,64,Risk
K4_5,Evaluate,Reject,privacy,34,Risk
K4_6,Evaluate,Reject,burden,32,Risk
K4_7,Evaluate,Reject,mismatch,32,Risk
K4_8,Evaluate,Reject,failure,30,Risk
K4_9,Evaluate,Reject,complexity,29,Risk
K4_10,Evaluate,Reject,limitation,28,Risk
K4_11,Evaluate,Reject,doubt,27,Risk
K4_12,Evaluate,Reject,exposure,25,Risk
K4_13,Evaluate,Reject,tradeoff,25,Risk
K4_14,Evaluate,Reject,friction,23,Risk
K4_15,Evaluate,Reject,bias,22,Risk
K4_16,Evaluate,Reject,safety,21,Risk
K4_17,Evaluate,Reject,rejection,20,Risk
K4_18,Evaluate,Reject,barrier,18,Risk
K4_19,Evaluate,Reject,instability,18,Risk
K4_20,Evaluate,Reject,maintenance,16,Risk
K4_21,Evaluate,Reject,compliance,15,Risk
K4_22,Evaluate,Reject,downside,14,Risk
K4_23,Evaluate,Reject,skepticism,13,Risk
K4_24,Evaluate,Reject,caution,11,Risk
K5_1,Discuss,Adopt,recommend,112,Advocacy
K5_2,Discuss,Adopt,endorse,94,Advocacy
K5_3,Discuss,Adopt,champion,78,Advocacy
K5_4,Discuss,Adopt,momentum,64,Advocacy
K5_5,Discuss,Adopt,consensus,34,Advocacy
K5_6,Discuss,Adopt,advocacy,32,Advocacy
K5_7,Discuss,Adopt,influence,32,Advocacy
K5_8,Discuss,Adopt,testimony,30,Advocacy
K5_9,Discuss,Adopt,excitement,29,Advocacy
K5_10,Discuss,Adopt,support,28,Advocacy
