source,target,weight,kind
N001,N004,3,internal
N001,N010,7,internal
N004,N007,1,internal
N004,N013,4,internal
N007,N010,2,internal
N007,N016,8,internal
N010,N013,2,internal
N010,N019,7,internal
N013,N016,2,internal
N013,N022,4,internal
N016,N019,5,internal
N016,N025,3,internal
N019,N022,5,internal
N019,N028,8,internal
N022,N025,7,internal
N022,N031,4,internal
N025,N028,2,internal
N025,N034,5,internal
N028,N031,8,internal
N028,N037,4,internal
N031,N034,5,internal
N031,N040,7,internal
N034,N037,3,internal
N034,N043,7,internal
N037,N040,2,internal
N037,N046,8,internal
N040,N043,2,internal
N001,N040,7,internal
N043,N046,7,internal
N004,N043,1,internal
N001,N046,8,internal
N007,N046,1,internal
N002,N005,2,internal
N002,N011,4,internal
N005,N008,3,internal
N005,N014,2,internal
N008,N011,1,internal
N008,N017,5,internal
N011,N014,8,internal
N011,N020,4,internal
N014,N017,6,internal
N014,N023,1,internal
N017,N020,3,internal
N017,N026,2,internal
N020,N023,1,internal
N020,N029,2,internal
N023,N026,3,internal
N023,N032,3,internal
N026,N029,5,internal
N026,N035,2,internal
N029,N032,3,internal
N029,N038,7,internal
N032,N035,2,internal
N032,N041,7,internal
N035,N038,7,internal
N035,N044,4,internal
N038,N041,3,internal
N038,N047,2,internal
N041,N044,3,internal
N002,N041,2,internal
N044,N047,4,internal
N005,N044,7,internal
N002,N047,2,internal
N008,N047,5,internal
N003,N006,4,internal
N003,N012,2,internal
N006,N009,1,internal
N006,N015,4,internal
N009,N012,3,internal
N009,N018,3,internal
N012,N015,5,internal
N012,N021,2,internal
N015,N018,2,internal
N015,N024,5,internal
N018,N021,8,internal
N018,N027,3,internal
N021,N024,1,internal
N021,N030,5,internal
N024,N027,6,internal
N024,N033,3,internal
N027,N030,7,internal
N027,N036,7,internal
N030,N033,4,internal
N030,N039,7,internal
N033,N036,6,internal
N033,N042,3,internal
N036,N039,8,internal
N036,N045,8,internal
N039,N042,2,internal
N039,N048,5,internal
N042,N045,4,internal
N003,N042,1,internal
N045,N048,4,internal
N006,N045,3,internal
N003,N048,6,internal
N009,N048,1,internal
N011,N032,8,internal
N001,N007,2,internal
N005,N026,7,internal
N021,N033,1,internal
N004,N022,3,internal
N019,N046,8,internal
N012,N048,6,internal
N019,N025,8,internal
N002,N014,4,internal
N007,N043,2,internal
N009,N024,3,internal
N005,N033,7,cross
N022,N024,6,cross
N002,N034,3,cross
N003,N044,2,cross
N012,N040,3,cross
N030,N043,8,cross
N010,N033,7,cross
N020,N021,4,cross
N027,N047,8,cross
N032,N036,3,cross
N014,N045,6,cross
N002,N018,4,cross
N001,N014,1,cross
N029,N034,6,cross
N004,N006,5,cross
N005,N048,5,cross
N039,N049,7,radial
N012,N049,8,radial
N032,N050,8,radial
N041,N050,3,radial
N014,N051,7,radial
N026,N051,8,radial
N032,N052,4,radial
N041,N052,3,radial
N004,N053,8,radial
N007,N053,4,radial
N017,N054,4,radial
N047,N054,1,radial
N038,N055,5,radial
N041,N055,3,radial
N001,N056,3,radial
N046,N056,2,radial
N028,N057,7,radial
N031,N057,4,radial
N014,N058,1,radial
N026,N058,4,radial
N031,N059,3,radial
N034,N059,5,radial
N009,N060,2,radial
N039,N060,3,radial
N032,N061,5,radial
N041,N061,2,radial
N028,N062,5,radial
N031,N062,2,radial
N009,N063,5,radial
N024,N063,4,radial
N021,N064,8,radial
N012,N064,7,radial
N047,N065,4,radial
N009,N066,5,radial
N014,N067,4,radial
N022,N068,1,radial
N028,N069,5,radial
N026,N070,6,radial
N009,N071,3,radial
N019,N072,6,radial
