cell_id,row_group,column_group,channel_a,channel_b,channel_c,channel_d,channel_e,heat_value
R01-C01,R01,C01,0,0,0,0,0,0
R01-C02,R01,C02,0.03,0.13,0.02,0.09,0.1,0.37
R01-C03,R01,C03,0.02,0.12,0.02,0.08,0.09,0.33
R01-C04,R01,C04,0,0,0,0,0,0
R01-C05,R01,C05,0,0,0,0,0,0
R01-C06,R01,C06,0,0,0,0,0,0
R01-C07,R01,C07,0.23,0.21,0.1,0.23,0.21,0.98
R01-C08,R01,C08,0.53,0.61,0.29,0.73,0.5,2.66
R01-C09,R01,C09,0.86,0.84,0.87,1.27,0.69,4.53
R01-C10,R01,C10,3.26,1.77,4.36,3.68,2.06,15.13
R01-C11,R01,C11,3.57,1.84,4.83,3.95,2.22,16.41
R01-C12,R01,C12,0.59,0.3,0.79,0.65,0.36,2.69
R01-C13,R01,C13,0,0,0,0,0,0
R01-C14,R01,C14,0,0,0,0,0,0
R01-C15,R01,C15,0,0,0,0,0,0
R01-C16,R01,C16,0,0,0,0,0,0
R01-C17,R01,C17,0,0,0,0,0,0
R01-C18,R01,C18,0,0,0,0,0,0
R01-C19,R01,C19,0,0,0,0,0,0
R01-C20,R01,C20,0,0,0,0,0,0
R02-C01,R02,C01,0.07,0.35,0.06,0.23,0.27,0.98
R02-C02,R02,C02,0.41,2.12,0.38,1.41,1.64,5.96
R02-C03,R02,C03,0.36,1.85,0.33,1.24,1.44,5.22
R02-C04,R02,C04,0.1,0.29,0.07,0.17,0.19,0.82
R02-C05,R02,C05,0,0,0,0,0,0
R02-C06,R02,C06,0.21,0.19,0.09,0.2,0.2,0.89
R02-C07,R02,C07,2.16,1.93,0.89,2.04,1.98,9
R02-C08,R02,C08,3.63,3.57,1.68,3.97,3.37,16.22
R02-C09,R02,C09,2.05,2.27,1.56,3.01,1.82,10.71
R02-C10,R02,C10,3.41,2,4.47,3.98,2.21,16.07
R02-C11,R02,C11,3.57,1.84,4.83,3.95,2.22,16.41
R02-C12,R02,C12,0.62,0.43,0.9,0.71,0.44,3.1
R02-C13,R02,C13,0.09,0.36,0.3,0.17,0.22,1.14
R02-C14,R02,C14,0.04,0.15,0.12,0.07,0.09,0.47
R02-C15,R02,C15,0.1,0.1,0.08,0.07,0.05,0.4
R02-C16,R02,C16,0.21,0.21,0.16,0.15,0.11,0.84
R02-C17,R02,C17,0.06,0.06,0.05,0.05,0.03,0.25
R02-C18,R02,C18,0,0,0,0,0,0
R02-C19,R02,C19,0,0,0,0,0,0
R02-C20,R02,C20,0,0,0,0,0,0
R03-C01,R03,C01,0.34,1.03,0.32,0.8,0.99,3.48
R03-C02,R03,C02,1.14,5.15,1.06,3.55,4.18,15.08
R03-C03,R03,C03,1.43,4.91,1.03,2.99,3.44,13.8
R03-C04,R03,C04,1.28,1.73,0.61,0.57,0.62,4.81
R03-C05,R03,C05,0.34,0.34,0.15,0.06,0.06,0.95
R03-C06,R03,C06,0.31,0.28,0.13,0.29,0.29,1.3
R03-C07,R03,C07,3.12,2.76,1.27,2.89,2.86,12.9
R03-C08,R03,C08,4.68,4.26,1.97,4.55,4.31,19.77
R03-C09,R03,C09,1.31,1.39,0.66,1.6,1.22,6.18
R03-C10,R03,C10,0.55,0.38,0.69,0.69,0.38,2.69
R03-C11,R03,C11,0.53,0.33,0.76,0.6,0.36,2.58
R03-C12,R03,C12,0.39,1.3,1.17,0.69,0.82,4.37
R03-C13,R03,C13,0.86,3.56,3,1.7,2.17,11.29
R03-C14,R03,C14,0.44,1.55,1.3,0.76,0.94,4.99
R03-C15,R03,C15,1.2,1.27,0.96,0.89,0.66,4.98
R03-C16,R03,C16,2.42,2.43,1.83,1.76,1.25,9.69
R03-C17,R03,C17,0.72,0.73,0.55,0.53,0.38,2.91
R03-C18,R03,C18,0,0,0,0,0,0
R03-C19,R03,C19,0,0,0,0,0,0
R03-C20,R03,C20,0,0,0,0,0,0
R04-C01,R04,C01,1.94,2.48,1.91,2.89,4,13.22
R04-C02,R04,C02,2.35,4.01,2.22,3.85,5.1,17.53
R04-C03,R04,C03,2.46,3.69,1.36,1.7,2,11.21
R04-C04,R04,C04,3.88,4.02,1.75,0.84,0.79,11.28
R04-C05,R04,C05,1.32,1.25,0.72,0.44,0.26,3.99
R04-C06,R04,C06,0.51,0.37,0.49,0.52,0.21,2.1
R04-C07,R04,C07,0.96,0.78,0.6,0.95,0.72,4.01
R04-C08,R04,C08,1.05,0.92,0.49,1,0.92,4.38
R04-C09,R04,C09,0.29,0.26,0.15,0.29,0.22,1.21
R04-C10,R04,C10,0.45,0.37,0.33,0.44,0.09,1.68
R04-C11,R04,C11,0.45,0.45,0.4,0.46,0.14,1.9
R04-C12,R04,C12,0.44,1.81,1.53,0.87,1.11,5.76
R04-C13,R04,C13,1.24,5.15,4.35,2.46,3.15,16.35
R04-C14,R04,C14,0.68,2.29,1.92,1.14,1.4,7.43
R04-C15,R04,C15,2.04,2.14,1.63,1.53,1.14,8.48
R04-C16,R04,C16,4.07,4.08,3.07,2.95,2.11,16.28
R04-C17,R04,C17,1.22,1.22,0.92,0.88,0.63,4.87
R04-C18,R04,C18,0.05,0.05,0.04,0.04,0.03,0.21
R04-C19,R04,C19,0,0,0,0,0,0
R04-C20,R04,C20,0,0,0,0,0,0
R05-C01,R05,C01,2.89,3.37,2.85,4.14,5.8,19.05
R05-C02,R05,C02,2.97,3.51,2.9,4.21,5.87,19.46
R05-C03,R05,C03,1.35,1.51,0.86,0.88,1.06,5.66
R05-C04,R05,C04,2.1,2.14,1.17,0.8,0.42,6.63
R05-C05,R05,C05,1.67,1.51,1.67,1.57,0.62,7.04
R05-C06,R05,C06,1.94,1.46,2.4,2.29,0.91,9
R05-C07,R05,C07,1.41,1.07,1.8,1.66,0.83,6.77
R05-C08,R05,C08,0.43,0.39,0.56,0.57,0.34,2.29
R05-C09,R05,C09,0.61,0.55,0.52,0.64,0.21,2.53
R05-C10,R05,C10,3.6,3,2.69,3.53,0.72,13.54
R05-C11,R05,C11,3.41,2.85,2.55,3.34,0.69,12.84
R05-C12,R05,C12,0.58,0.82,0.73,0.67,0.38,3.18
R05-C13,R05,C13,0.32,1.17,1.01,0.59,0.76,3.85
R05-C14,R05,C14,0.55,0.83,0.81,0.61,0.73,3.53
R05-C15,R05,C15,1.1,1.02,0.96,0.9,0.89,4.87
R05-C16,R05,C16,1.12,1.1,0.87,0.83,0.64,4.56
R05-C17,R05,C17,0.3,0.3,0.22,0.22,0.15,1.19
R05-C18,R05,C18,0,0,0,0,0,0
R05-C19,R05,C19,0,0,0,0,0,0
R05-C20,R05,C20,0,0,0,0,0,0
R06-C01,R06,C01,0.64,0.75,0.64,0.92,1.29,4.24
R06-C02,R06,C02,0.64,0.75,0.64,0.92,1.29,4.24
R06-C03,R06,C03,0.45,0.57,0.43,0.61,0.36,2.42
R06-C04,R06,C04,1.34,1.73,1.67,2.01,0.72,7.47
R06-C05,R06,C05,3.04,3.4,4.39,4.3,2.05,17.18
R06-C06,R06,C06,4.36,4.19,6.62,5.5,3.5,24.17
R06-C07,R06,C07,3.11,3.15,5.12,4.05,3.42,18.85
R06-C08,R06,C08,1.06,1.52,2.1,1.73,2.05,8.46
R06-C09,R06,C09,0.82,0.98,0.94,1.09,0.79,4.62
R06-C10,R06,C10,4.22,3.58,3.2,4.18,0.96,16.14
R06-C11,R06,C11,4.05,3.47,3.13,4,0.94,15.59
R06-C12,R06,C12,0.78,1.13,1.26,1.01,0.87,5.05
R06-C13,R06,C13,0.32,0.71,0.94,0.54,0.83,3.34
R06-C14,R06,C14,1.19,1.09,1.27,1.1,1.31,5.96
R06-C15,R06,C15,1.57,1.37,1.52,1.41,1.63,7.5
R06-C16,R06,C16,0.32,0.28,0.31,0.28,0.33,1.52
R06-C17,R06,C17,0,0,0,0,0,0
R06-C18,R06,C18,0,0,0,0,0,0
R06-C19,R06,C19,0.19,0.24,0.34,0.06,0.26,1.09
R06-C20,R06,C20,0.19,0.24,0.34,0.06,0.26,1.09
R07-C01,R07,C01,0,0,0,0,0,0
R07-C02,R07,C02,0.28,0.2,0.16,0.23,0.17,1.04
R07-C03,R07,C03,1.4,1.31,1.01,1.44,0.86,6.02
R07-C04,R07,C04,3.61,4.27,3.8,4.53,2.5,18.71
R07-C05,R07,C05,5.67,7.32,8.21,7.39,5.17,33.76
R07-C06,R07,C06,6.21,7.86,11.36,7.69,8.09,41.21
R07-C07,R07,C07,4.31,6.31,9.45,6.11,8.52,34.7
R07-C08,R07,C08,1.92,3.87,4.9,3.84,5.86,20.39
R07-C09,R07,C09,0.94,1.75,1.83,1.96,2.45,8.93
R07-C10,R07,C10,1.02,1.04,0.9,1.2,0.66,4.82
R07-C11,R07,C11,1.42,1.5,1.22,1.32,0.65,6.11
R07-C12,R07,C12,1.18,2.09,2.34,1.53,1.86,9
R07-C13,R07,C13,0.8,1.56,2.29,1.23,1.77,7.65
R07-C14,R07,C14,0.89,0.87,1.46,0.86,1,5.08
R07-C15,R07,C15,0.85,0.71,1.06,0.72,0.8,4.14
R07-C16,R07,C16,0.21,0.16,0.26,0.16,0.17,0.96
R07-C17,R07,C17,0,0,0,0,0,0
R07-C18,R07,C18,0.29,0.34,0.5,0.11,0.39,1.63
R07-C19,R07,C19,1.89,2.28,3.33,0.66,2.57,10.73
R07-C20,R07,C20,1.82,2.26,3.26,0.61,2.5,10.45
R08-C01,R08,C01,0.07,0.03,0.03,0.04,0.05,0.22
R08-C02,R08,C02,0.82,0.49,0.39,0.57,0.56,2.83
R08-C03,R08,C03,3.62,2.61,1.97,2.71,2.46,13.37
R08-C04,R08,C04,7.65,7.13,5.73,6.48,5.76,32.75
R08-C05,R08,C05,9.43,11.09,10.46,8.56,9.03,48.57
R08-C06,R08,C06,8.5,11.36,13.53,8.25,11.49,53.13
R08-C07,R08,C07,6,9.21,12.26,7.67,11.59,46.73
R08-C08,R08,C08,4.15,6.61,8.21,7.17,9.02,35.16
R08-C09,R08,C09,4.21,4.84,4.77,7.28,5.57,26.67
