id,label,community,density,weight,channel_a,channel_b,channel_c,channel_d,channel_e,dominant_component,layout_x,layout_y
N001,Node 001,Community A,core,91,18.93,17.28,25.91,18.84,10.04,channel_c,0.294992,0.474163
N002,Node 002,Community B,core,68,13.97,19.17,16.36,4.79,13.71,channel_b,0.623595,0.617005
N003,Node 003,Community C,core,82,13.77,28.37,23.69,5.53,10.64,channel_b,0.5285,0.705043
N004,Node 004,Community A,core,92,25.29,19.1,6.61,20.81,20.19,channel_a,0.256458,0.540131
N005,Node 005,Community B,core,78,18.45,17.11,17.55,10.97,13.92,channel_a,0.613117,0.558935
N006,Node 006,Community C,core,64,7.9,10.69,18.4,18.19,8.82,channel_c,0.522722,0.598762
N007,Node 007,Community A,core,71,18.53,20.6,5.9,6.26,19.71,channel_b,0.204702,0.513573
N008,Node 008,Community B,core,89,10.27,21.36,5.62,29.56,22.19,channel_d,0.760411,0.50023
N009,Node 009,Community C,core,100,28.43,14.47,12.4,30.36,14.34,channel_d,0.505187,0.539612
N010,Node 010,Community A,core,56,6.57,8.07,19.49,12.59,9.28,channel_c,0.243573,0.483636
N011,Node 011,Community B,core,87,7.04,31.66,12.7,21.07,14.53,channel_b,0.664285,0.5326
N012,Node 012,Community C,core,80,11.51,28.92,7.54,20.06,11.97,channel_b,0.381818,0.646077
N013,Node 013,Community A,core,79,16.5,15.6,10.36,18.42,18.12,channel_d,0.16299,0.47577
N014,Node 014,Community B,core,109,17.77,22.87,32.12,31.21,5.03,channel_c,0.571076,0.506796
N015,Node 015,Community C,core,115,21.58,23.7,23.64,25.96,20.12,channel_d,0.462952,0.599147
N016,Node 016,Community A,core,106,35.13,16.36,13.69,18.68,22.14,channel_a,0.174806,0.408072
N017,Node 017,Community B,core,65,9.16,9.08,24.27,10.58,11.91,channel_c,0.656944,0.421263
N018,Node 018,Community C,core,67,18.53,12.08,22.97,7.86,5.56,channel_c,0.493501,0.656954
N019,Node 019,Community A,core,106,14.28,28.89,22.09,34.14,6.6,channel_d,0.219975,0.345434
N020,Node 020,Community B,core,107,29.3,17.6,37.23,12.97,9.9,channel_c,0.704756,0.457811
N021,Node 021,Community C,core,80,17.64,29.18,20.18,6.16,6.84,channel_b,0.445537,0.530136
N022,Node 022,Community A,core,117,27.69,36.1,19.76,5.5,27.95,channel_b,0.244385,0.419046
N023,Node 023,Community B,core,37,13.07,1.92,7.44,6.72,7.85,channel_a,0.707999,0.514622
N024,Node 024,Community C,core,120,16.63,35.53,11.34,20.81,35.69,channel_e,0.393678,0.573136
N025,Node 025,Community A,core,69,15.5,19.77,10.65,13.99,9.09,channel_b,0.309488,0.41515
N026,Node 026,Community B,core,97,22.45,14.28,23.8,20.56,15.91,channel_c,0.631147,0.475937
N027,Node 027,Community C,core,106,17.81,20.86,11.2,31.39,24.74,channel_d,0.46752,0.716949
N028,Node 028,Community A,core,99,23.16,15.47,25.64,26.34,8.39,channel_d,0.284007,0.283302
N029,Node 029,Community B,core,53,15.98,11.05,12.88,6.06,7.03,channel_a,0.661543,0.588384
N030,Node 030,Community C,core,62,15.9,5.05,12.37,11.97,16.71,channel_e,0.404385,0.705121
N031,Node 031,Community A,core,111,5.43,23.39,21.87,21.8,38.51,channel_e,0.355507,0.360423
N032,Node 032,Community B,core,36,4.43,7.69,10.25,9.57,4.06,channel_c,0.737477,0.624204
N033,Node 033,Community C,core,76,13.81,12.92,18.85,26.71,3.71,channel_d,0.43442,0.660891
N034,Node 034,Community A,core,43,7.01,6.97,11.78,3.33,13.91,channel_e,0.403471,0.450133
N035,Node 035,Community B,core,112,27.02,29.39,9.31,20.75,25.53,channel_b,0.73181,0.566561
N036,Node 036,Community C,core,51,13.98,8.16,9.7,8.52,10.64,channel_a,0.569686,0.733989
N037,Node 037,Community A,core,104,8.61,12.54,42.51,5.91,34.43,channel_c,0.286498,0.355781
N038,Node 038,Community B,core,123,9.59,22.71,15.32,45.11,30.27,channel_d,0.794177,0.608887
N039,Node 039,Community C,core,58,21.24,8.86,14.57,6.74,6.59,channel_a,0.455522,0.77773
N040,Node 040,Community A,core,87,9.92,9.25,33.27,20.24,14.32,channel_c,0.355487,0.447052
N041,Node 041,Community B,core,56,8.31,5.06,5.1,21.06,16.47,channel_d,0.742347,0.667036
N042,Node 042,Community C,core,110,17.55,31.46,30.55,7.23,23.21,channel_b,0.516317,0.773346
N043,Node 043,Community A,core,93,4.83,20.98,23,23.71,20.48,channel_d,0.31759,0.53686
N044,Node 044,Community B,core,35,5.29,7.07,4.12,13.08,5.44,channel_d,0.66231,0.64304
