source,target,flow_twh
North,Northeast,8
North,Central,6
North,East,10
North,South,5
North,West,7
Northeast,North,14
Northeast,Central,18
Northeast,East,20
Northeast,South,12
Northeast,West,16
Central,North,24
Central,Northeast,28
Central,East,20
Central,South,34
Central,West,14
East,North,30
East,Northeast,32
East,Central,36
East,South,28
East,West,34
South,North,48
South,Northeast,42
South,Central,46
South,East,50
South,West,34
West,North,18
West,Northeast,22
West,Central,24
West,East,20
West,South,16
