lab_id,month,output
Aurora,1,62
Aurora,2,69
Aurora,3,76
Aurora,4,83
Aurora,5,90
Aurora,6,97
Beacon,1,73
Beacon,2,80
Beacon,3,87
Beacon,4,94
Beacon,5,55
Beacon,6,62
Catalyst,1,84
Catalyst,2,91
Catalyst,3,98
Catalyst,4,59
Catalyst,5,66
Catalyst,6,73
Drift,1,95
Drift,2,56
Drift,3,63
Drift,4,70
Drift,5,77
Drift,6,84
Ember,1,60
Ember,2,67
Ember,3,74
Ember,4,81
Ember,5,88
Ember,6,95
Flux,1,71
Flux,2,78
Flux,3,85
Flux,4,92
Flux,5,99
Flux,6,60
Grove,1,82
Grove,2,89
Grove,3,96
Grove,4,57
Grove,5,64
Grove,6,71
Helix,1,93
Helix,2,100
Helix,3,61
Helix,4,68
Helix,5,75
Helix,6,82
Ion,1,58
Ion,2,65
Ion,3,72
Ion,4,79
Ion,5,86
Ion,6,93
Junction,1,69
Junction,2,76
Junction,3,83
Junction,4,90
Junction,5,97
Junction,6,58
Kite,1,80
Kite,2,87
Kite,3,94
Kite,4,55
Kite,5,62
Kite,6,69
Lumen,1,91
Lumen,2,98
Lumen,3,59
Lumen,4,66
Lumen,5,73
Lumen,6,80
