source,target,weight,relation_type
U0395,U0394,3,leader-broadcast
U0394,U0355,1,cascade
U0394,U0432,2,cascade
U0395,U0357,3,leader-broadcast
U0357,U0319,1,cascade
U0357,U0322,2,cascade
U0395,U0434,3,leader-broadcast
U0434,U0514,1,cascade
U0434,U0432,2,cascade
U0395,U0358,3,leader-broadcast
U0358,U0322,1,cascade
U0358,U0323,2,cascade
U0395,U0435,3,leader-broadcast
U0435,U0475,1,cascade
U0435,U0515,2,cascade
U0395,U0396,3,leader-broadcast
U0396,U0437,1,cascade
U0396,U0474,2,cascade
U0395,U0321,3,leader-broadcast
U0321,U0284,1,cascade
U0321,U0285,2,cascade
U0395,U0356,3,leader-broadcast
U0356,U0319,1,cascade
U0356,U0283,2,cascade
U0395,U0359,3,leader-broadcast
U0359,U0360,1,cascade
U0359,U0286,2,cascade
U0395,U0433,3,leader-broadcast
U0433,U0432,1,cascade
U0433,U0471,2,cascade
U0395,U0436,3,leader-broadcast
U0436,U0475,1,cascade
U0436,U0437,2,cascade
U0395,U0473,3,leader-broadcast
U0473,U0474,1,cascade
U0473,U0513,2,cascade
U0395,U0320,3,leader-broadcast
U0320,U0284,1,cascade
U0320,U0283,2,cascade
U0395,U0393,3,leader-broadcast
U0393,U0432,1,cascade
U0393,U0392,2,cascade
U0395,U0397,3,leader-broadcast
U0397,U0398,1,cascade
U0397,U0323,2,cascade
U0395,U0472,3,leader-broadcast
U0472,U0514,1,cascade
U0472,U0513,2,cascade
U0265,U0264,3,leader-broadcast
U0264,U0229,1,cascade
U0264,U0296,2,cascade
U0265,U0266,3,leader-broadcast
U0266,U0301,1,cascade
U0266,U0336,2,cascade
U0265,U0231,3,leader-broadcast
U0231,U0229,1,cascade
U0231,U0163,2,cascade
U0265,U0232,3,leader-broadcast
U0232,U0165,1,cascade
U0232,U0200,2,cascade
U0265,U0298,3,leader-broadcast
U0298,U0333,1,cascade
U0298,U0336,2,cascade
U0265,U0299,3,leader-broadcast
U0299,U0337,1,cascade
U0299,U0372,2,cascade
U0265,U0198,3,leader-broadcast
U0198,U0164,1,cascade
U0198,U0165,2,cascade
U0265,U0230,3,leader-broadcast
U0230,U0196,1,cascade
U0230,U0163,2,cascade
U0265,U0233,3,leader-broadcast
U0233,U0166,1,cascade
U0233,U0201,2,cascade
U0265,U0297,3,leader-broadcast
U0297,U0296,1,cascade
U0297,U0333,2,cascade
U0265,U0300,3,leader-broadcast
U0300,U0337,1,cascade
U0300,U0336,2,cascade
U0265,U0335,3,leader-broadcast
U0335,U0371,1,cascade
U0335,U0372,2,cascade
U0265,U0263,3,leader-broadcast
U0263,U0229,1,cascade
U0263,U0296,2,cascade
U0265,U0267,3,leader-broadcast
U0267,U0301,1,cascade
U0267,U0268,2,cascade
U0265,U0197,3,leader-broadcast
U0197,U0163,1,cascade
U0197,U0162,2,cascade
U0265,U0199,3,leader-broadcast
U0199,U0200,1,cascade
U0199,U0165,2,cascade
U0463,U0423,3,leader-broadcast
U0423,U0349,1,cascade
U0423,U0384,2,cascade
U0463,U0424,3,leader-broadcast
U0424,U0388,1,cascade
U0424,U0349,2,cascade
U0463,U0501,3,leader-broadcast
U0501,U0544,1,cascade
U0501,U0584,2,cascade
U0463,U0502,3,leader-broadcast
U0502,U0544,1,cascade
U0502,U0542,2,cascade
U0463,U0462,3,leader-broadcast
U0462,U0499,1,cascade
U0462,U0542,2,cascade
U0463,U0464,3,leader-broadcast
U0464,U0544,1,cascade
U0464,U0388,2,cascade
U0463,U0386,3,leader-broadcast
U0386,U0349,1,cascade
U0386,U0350,2,cascade
U0463,U0422,3,leader-broadcast
U0422,U0384,1,cascade
U0422,U0348,2,cascade
U0463,U0425,3,leader-broadcast
U0425,U0351,1,cascade
U0425,U0466,2,cascade
U0463,U0500,3,leader-broadcast
U0500,U0499,1,cascade
U0500,U0541,2,cascade
U0463,U0503,3,leader-broadcast
U0503,U0545,1,cascade
U0503,U0504,2,cascade
U0463,U0543,3,leader-broadcast
U0543,U0542,1,cascade
U0543,U0544,2,cascade
U0463,U0461,3,leader-broadcast
U0461,U0421,1,cascade
U0461,U0499,2,cascade
U0463,U0465,3,leader-broadcast
U0465,U0504,1,cascade
U0465,U0466,2,cascade
U0463,U0385,3,leader-broadcast
U0385,U0349,1,cascade
U0385,U0347,2,cascade
U0463,U0387,3,leader-broadcast
U0387,U0388,1,cascade
U0387,U0351,2,cascade
U1070,U1071,3,leader-broadcast
U1071,U1024,1,cascade
U1071,U1120,2,cascade
U1070,U1022,3,leader-broadcast
U1022,U0973,1,cascade
U1022,U0976,2,cascade
U1070,U1118,3,leader-broadcast
U1118,U1209,1,cascade
U1118,U1120,2,cascade
U1070,U1021,3,leader-broadcast
U1021,U0973,1,cascade
U1021,U0972,2,cascade
U1070,U1117,3,leader-broadcast
U1117,U1162,1,cascade
U1117,U1208,2,cascade
U1070,U1069,3,leader-broadcast
U1069,U1115,1,cascade
U1069,U1163,2,cascade
U1070,U0974,3,leader-broadcast
U0974,U0925,1,cascade
U0974,U0924,2,cascade
U1070,U1020,3,leader-broadcast
U1020,U0973,1,cascade
U1020,U1019,2,cascade
U1070,U1023,3,leader-broadcast
U1023,U0926,1,cascade
U1023,U0977,2,cascade
U1070,U1116,3,leader-broadcast
U1116,U1162,1,cascade
U1116,U1163,2,cascade
U1070,U1119,3,leader-broadcast
U1119,U1166,1,cascade
U1119,U1073,2,cascade
U1070,U1164,3,leader-broadcast
U1164,U1163,1,cascade
U1164,U1207,2,cascade
U1070,U0975,3,leader-broadcast
U0975,U0925,1,cascade
U0975,U0926,2,cascade
U1070,U1068,3,leader-broadcast
U1068,U1115,1,cascade
U1068,U1067,2,cascade
U1070,U1072,3,leader-broadcast
U1072,U1073,1,cascade
U1072,U0976,2,cascade
U1070,U1165,3,leader-broadcast
U1165,U1209,1,cascade
U1165,U1210,2,cascade
U0986,U0987,3,leader-broadcast
U0987,U0939,1,cascade
U0987,U1036,2,cascade
U0986,U0936,3,leader-broadcast
U0936,U0839,1,cascade
U0936,U0885,2,cascade
U0986,U0937,3,leader-broadcast
U0937,U0889,1,cascade
U0937,U0839,2,cascade
U0986,U1033,3,leader-broadcast
U1033,U1081,1,cascade
U1033,U1080,2,cascade
U0986,U1034,3,leader-broadcast
U1034,U1084,1,cascade
U1034,U1130,2,cascade
U0986,U0985,3,leader-broadcast
U0985,U1031,1,cascade
U0985,U1081,2,cascade
U0986,U0938,3,leader-broadcast
U0938,U0889,1,cascade
U0938,U0939,2,cascade
U0986,U1035,3,leader-broadcast
U1035,U1036,1,cascade
U1035,U0989,2,cascade
U0986,U0887,3,leader-broadcast
U0887,U0886,1,cascade
U0887,U0841,2,cascade
U0986,U1082,3,leader-broadcast
U1082,U1129,1,cascade
U1082,U1130,2,cascade
U0986,U0935,3,leader-broadcast
U0935,U0934,1,cascade
U0935,U0886,2,cascade
U0986,U1032,3,leader-broadcast
U1032,U1081,1,cascade
U1032,U0983,2,cascade
U0986,U0888,3,leader-broadcast
U0888,U0840,1,cascade
U0888,U0841,2,cascade
U0986,U0984,3,leader-broadcast
U0984,U0934,1,cascade
U0984,U1031,2,cascade
U0986,U0988,3,leader-broadcast
U0988,U1036,1,cascade
U0988,U0940,2,cascade
U0986,U1083,3,leader-broadcast
U1083,U1130,1,cascade
U1083,U1131,2,cascade
U1096,U1048,3,leader-broadcast
U1048,U0951,1,cascade
U1048,U1002,2,cascade
U1096,U1095,3,leader-broadcast
U1095,U1045,1,cascade
U1095,U1141,2,cascade
U1096,U1144,3,leader-broadcast
U1144,U1235,1,cascade
U1144,U1234,2,cascade
U1096,U1047,3,leader-broadcast
U1047,U0950,1,cascade
U1047,U0998,2,cascade
U1096,U1143,3,leader-broadcast
U1143,U1188,1,cascade
U1143,U1234,2,cascade
U1096,U1097,3,leader-broadcast
U1097,U1191,1,cascade
U1097,U1002,2,cascade
U1096,U1000,3,leader-broadcast
U1000,U0951,1,cascade
U1000,U0950,2,cascade
U1096,U1046,3,leader-broadcast
U1046,U0998,1,cascade
U1046,U1094,2,cascade
U1096,U1049,3,leader-broadcast
U1049,U0952,1,cascade
U1049,U1003,2,cascade
U1096,U1142,3,leader-broadcast
U1142,U1141,1,cascade
U1142,U1094,2,cascade
U1096,U1145,3,leader-broadcast
U1145,U1192,1,cascade
U1145,U1146,2,cascade
U1096,U1190,3,leader-broadcast
U1190,U1191,1,cascade
U1190,U1233,2,cascade
U1096,U1098,3,leader-broadcast
U1098,U1050,1,cascade
U1098,U1146,2,cascade
U1096,U0999,3,leader-broadcast
U0999,U0949,1,cascade
U0999,U0998,2,cascade
U1096,U1189,3,leader-broadcast
U1189,U1188,1,cascade
U1189,U1235,2,cascade
U1096,U1001,3,leader-broadcast
U1001,U1002,1,cascade
U1001,U0952,2,cascade
U1572,U1571,3,leader-broadcast
U1571,U1533,1,cascade
U1571,U1603,2,cascade
U1572,U1535,3,leader-broadcast
U1535,U1497,1,cascade
U1535,U1533,2,cascade
U1572,U1605,3,leader-broadcast
U1605,U1672,1,cascade
U1605,U1603,2,cascade
U1572,U1536,3,leader-broadcast
U1536,U1501,1,cascade
U1536,U1574,2,cascade
U1572,U1606,3,leader-broadcast
U1606,U1574,1,cascade
U1606,U1641,2,cascade
U1572,U1573,3,leader-broadcast
U1573,U1608,1,cascade
U1573,U1640,2,cascade
U1572,U1499,3,leader-broadcast
U1499,U1461,1,cascade
U1499,U1462,2,cascade
U1572,U1534,3,leader-broadcast
U1534,U1497,1,cascade
U1534,U1496,2,cascade
U1572,U1604,3,leader-broadcast
U1604,U1569,1,cascade
U1604,U1636,2,cascade
U1572,U1639,3,leader-broadcast
U1639,U1672,1,cascade
U1639,U1673,2,cascade
U1572,U1537,3,leader-broadcast
U1537,U1538,1,cascade
U1537,U1574,2,cascade
U1572,U1607,3,leader-broadcast
U1607,U1641,1,cascade
U1607,U1640,2,cascade
U1572,U1498,3,leader-broadcast
U1498,U1461,1,cascade
U1498,U1460,2,cascade
U1572,U1570,3,leader-broadcast
U1570,U1533,1,cascade
U1570,U1603,2,cascade
U1572,U1638,3,leader-broadcast
U1638,U1637,1,cascade
U1638,U1603,2,cascade
U1572,U1500,3,leader-broadcast
U1500,U1462,1,cascade
U1500,U1501,2,cascade
U1591,U1555,3,leader-broadcast
U1555,U1481,1,cascade
U1555,U1520,2,cascade
U1591,U1592,3,leader-broadcast
U1592,U1557,1,cascade
U1592,U1627,2,cascade
U1591,U1625,3,leader-broadcast
U1625,U1660,1,cascade
U1625,U1691,2,cascade
U1591,U1554,3,leader-broadcast
U1554,U1480,1,cascade
U1554,U1516,2,cascade
U1591,U1624,3,leader-broadcast
U1624,U1656,1,cascade
U1624,U1691,2,cascade
U1591,U1590,3,leader-broadcast
U1590,U1622,1,cascade
U1590,U1588,2,cascade
U1591,U1556,3,leader-broadcast
U1556,U1520,1,cascade
U1556,U1593,2,cascade
U1591,U1626,3,leader-broadcast
U1626,U1660,1,cascade
U1626,U1627,2,cascade
U1591,U1518,3,leader-broadcast
U1518,U1482,1,cascade
U1518,U1441,2,cascade
U1591,U1553,3,leader-broadcast
U1553,U1552,1,cascade
U1553,U1516,2,cascade
U1591,U1623,3,leader-broadcast
U1623,U1589,1,cascade
U1623,U1656,2,cascade
U1591,U1658,3,leader-broadcast
U1658,U1693,1,cascade
U1658,U1690,2,cascade
U1591,U1519,3,leader-broadcast
U1519,U1482,1,cascade
U1519,U1481,2,cascade
U1591,U1659,3,leader-broadcast
U1659,U1692,1,cascade
U1659,U1660,2,cascade
U1591,U1517,3,leader-broadcast
U1517,U1480,1,cascade
U1517,U1478,2,cascade
U1591,U1657,3,leader-broadcast
U1657,U1656,1,cascade
U1657,U1690,2,cascade
U0395,U0265,2,cross-community
U0265,U0463,2,cross-community
U0463,U1070,2,cross-community
U1070,U0986,2,cross-community
U0986,U1096,2,cross-community
U1096,U1572,2,cross-community
U1572,U1591,2,cross-community
U1591,U0395,2,cross-community
