id,x,y,community,user_type,activity
U0001,-21.651,-37.500,Civic Core,Receiver,18
U0002,-19.919,-37.500,Civic Core,Receiver,35
U0003,-12.990,-37.500,Public Health,Receiver,23
U0004,-11.258,-37.500,Public Health,Receiver,40
U0005,-9.526,-37.500,Public Health,Receiver,28
U0006,-4.330,-37.500,Public Health,Receiver,45
U0007,4.330,-37.500,Public Health,Receiver,33
U0008,6.062,-37.500,Public Health,Receiver,21
U0009,12.990,-37.500,Public Health,Receiver,38
U0010,14.722,-37.500,Public Health,Receiver,26
U0011,16.454,-37.500,Public Health,Receiver,43
U0012,18.187,-37.500,Open Technology,Receiver,31
U0013,19.919,-37.500,Open Technology,Receiver,19
U0014,-22.517,-36.000,Civic Core,Receiver,36
U0015,-20.785,-36.000,Civic Core,Receiver,24
U0016,-19.053,-36.000,Civic Core,Receiver,41
U0017,-17.321,-36.000,Civic Core,Receiver,29
U0018,-15.588,-36.000,Public Health,Receiver,46
U0019,-13.856,-36.000,Public Health,Receiver,34
U0020,-12.124,-36.000,Public Health,Receiver,22
U0021,-10.392,-36.000,Public Health,Receiver,39
U0022,-8.660,-36.000,Public Health,Receiver,27
U0023,-6.928,-36.000,Public Health,Receiver,44
U0024,-5.196,-36.000,Public Health,Receiver,32
U0025,-3.464,-36.000,Public Health,Receiver,20
U0026,3.464,-36.000,Public Health,Receiver,37
U0027,5.196,-36.000,Public Health,Receiver,25
U0028,6.928,-36.000,Public Health,Receiver,42
U0029,8.660,-36.000,Public Health,Receiver,30
U0030,10.392,-36.000,Public Health,Receiver,18
U0031,12.124,-36.000,Public Health,Receiver,35
U0032,15.588,-36.000,Public Health,Receiver,23
U0033,17.321,-36.000,Open Technology,Receiver,40
U0034,19.053,-36.000,Open Technology,Receiver,28
U0035,-21.651,-34.500,Civic Core,Receiver,45
U0036,-19.919,-34.500,Civic Core,Receiver,33
U0037,-18.187,-34.500,Civic Core,Receiver,21
U0038,-16.454,-34.500,Civic Core,Receiver,38
U0039,-14.722,-34.500,Public Health,Receiver,26
U0040,-12.990,-34.500,Public Health,Receiver,43
U0041,-11.258,-34.500,Public Health,Receiver,31
U0042,-9.526,-34.500,Public Health,Receiver,19
U0043,-7.794,-34.500,Public Health,Receiver,36
U0044,-6.062,-34.500,Public Health,Receiver,24
U0045,-4.330,-34.500,Public Health,Receiver,41
U0046,-2.598,-34.500,Public Health,Receiver,29
U0047,-0.866,-34.500,Public Health,Receiver,46
U0048,0.866,-34.500,Public Health,Receiver,34
U0049,2.598,-34.500,Public Health,Receiver,22
U0050,4.330,-34.500,Public Health,Receiver,39
U0051,6.062,-34.500,Public Health,Receiver,27
U0052,7.794,-34.500,Public Health,Receiver,44
U0053,9.526,-34.500,Public Health,Receiver,32
U0054,11.258,-34.500,Public Health,Receiver,20
U0055,12.990,-34.500,Public Health,Receiver,37
U0056,14.722,-34.500,Public Health,Receiver,25
U0057,16.454,-34.500,Open Technology,Receiver,42
U0058,18.187,-34.500,Open Technology,Receiver,30
U0059,19.919,-34.500,Open Technology,Receiver,18
U0060,21.651,-34.500,Open Technology,Receiver,35
U0061,25.115,-34.500,Open Technology,Receiver,23
U0062,-25.981,-33.000,Civic Core,Receiver,40
U0063,-22.517,-33.000,Civic Core,Receiver,28
U0064,-20.785,-33.000,Civic Core,Receiver,45
U0065,-19.053,-33.000,Civic Core,Receiver,33
U0066,-17.321,-33.000,Civic Core,Receiver,21
U0067,-15.588,-33.000,Public Health,Receiver,38
U0068,-13.856,-33.000,Public Health,Receiver,26
U0069,-12.124,-33.000,Public Health,Receiver,43
U0070,-10.392,-33.000,Public Health,Receiver,31
U0071,-8.660,-33.000,Public Health,Receiver,19
U0072,-6.928,-33.000,Public Health,Receiver,36
U0073,-5.196,-33.000,Public Health,Receiver,24
U0074,-3.464,-33.000,Public Health,Receiver,41
U0075,-1.732,-33.000,Public Health,Receiver,29
U0076,0.000,-33.000,Public Health,Receiver,46
U0077,1.732,-33.000,Public Health,Receiver,34
U0078,3.464,-33.000,Public Health,Receiver,22
U0079,5.196,-33.000,Public Health,Receiver,39
U0080,6.928,-33.000,Public Health,Receiver,27
U0081,8.660,-33.000,Public Health,Receiver,44
U0082,10.392,-33.000,Public Health,Receiver,32
U0083,12.124,-33.000,Public Health,Receiver,20
U0084,13.856,-33.000,Public Health,Receiver,37
U0085,15.588,-33.000,Open Technology,Receiver,25
U0086,17.321,-33.000,Open Technology,Receiver,42
U0087,19.053,-33.000,Open Technology,Receiver,30
U0088,20.785,-33.000,Open Technology,Receiver,18
U0089,22.517,-33.000,Open Technology,Receiver,35
U0090,24.249,-33.000,Open Technology,Receiver,23
U0091,-25.115,-31.500,Civic Core,Receiver,40
U0092,-23.383,-31.500,Civic Core,Receiver,28
U0093,-21.651,-31.500,Civic Core,Receiver,45
U0094,-19.919,-31.500,Civic Core,Receiver,33
