node_id,parent_id,label,weight,metric_1,metric_2,metric_3,metric_4,metric_5
root,,Organization,240,240,210,198,225,216
platform,root,Platform,126,126,112,104,119,114
product,root,Product,114,114,98,94,106,102
runtime,platform,Runtime,68,68,61,56,65,62
data,platform,Data,58,58,51,48,54,52
editor,product,Editor,62,62,54,51,58,56
insights,product,Insights,52,52,44,43,48,46
scheduler,runtime,Scheduler,36,36,32,29,34,33
renderer,runtime,Renderer,32,32,29,27,31,29
storage,data,Storage,31,31,27,26,29,28
pipeline,data,Pipeline,27,27,24,22,25,24
canvas,editor,Canvas,34,34,30,28,32,31
encoding,editor,Encoding,28,28,24,23,26,25
analysis,insights,Analysis,29,29,25,24,27,26
reporting,insights,Reporting,23,23,19,19,21,20
queue,scheduler,Queue,19,19,17,15,18,17
workers,scheduler,Workers,17,17,15,14,16,16
svg,renderer,SVG,18,18,16,15,17,16
webgl,renderer,WebGL,14,14,13,12,14,13
cache,storage,Cache,17,17,15,14,16,15
database,storage,Database,14,14,12,12,13,13
transform,pipeline,Transform,15,15,13,12,14,13
lineage,pipeline,Lineage,12,12,11,10,11,11
interaction,canvas,Interaction,19,19,17,16,18,17
layout,canvas,Layout,15,15,13,12,14,14
channels,encoding,Channels,16,16,14,13,15,14
scales,encoding,Scales,12,12,10,10,11,11
statistics,analysis,Statistics,16,16,14,13,15,14
recommendations,analysis,Recommendations,13,13,11,11,12,12
exports,reporting,Exports,13,13,11,10,12,11
dashboards,reporting,Dashboards,10,10,8,9,9,9
pointer,interaction,Pointer,11,11,10,9,10,10
keyboard,interaction,Keyboard,8,8,7,7,8,7
polar,layout,Polar,8,8,7,6,7,7
cartesian,layout,Cartesian,7,7,6,6,7,7
categorical,channels,Categorical,9,9,8,7,8,8
quantitative,channels,Quantitative,7,7,6,6,7,6
linear,scales,Linear,7,7,6,6,7,6
ordinal,scales,Ordinal,5,5,4,4,4,5
anova,statistics,ANOVA,9,9,8,7,8,8
regression,statistics,Regression,7,7,6,6,7,6
intent,recommendations,Intent,7,7,6,6,7,7
repair,recommendations,Repair,6,6,5,5,5,5
pdf,exports,PDF,7,7,6,5,6,6
svg_export,exports,SVG Export,6,6,5,5,6,5
team,dashboards,Team,6,6,5,5,5,5
personal,dashboards,Personal,4,4,3,4,4,4
drag,pointer,Drag,6,6,5,5,6,5
drop,pointer,Drop,5,5,5,4,4,5
shortcuts,keyboard,Shortcuts,5,5,4,4,5,4
focus,keyboard,Focus,3,3,3,3,3,3
radial_concat,polar,Radial Concat,5,5,4,4,5,4
angular_concat,polar,Angular Concat,3,3,3,2,2,3
axes,cartesian,Axes,4,4,3,3,4,4
marks,cartesian,Marks,3,3,3,3,3,3
