column,group,value,change,x,y,magnitude
C001,Alpha,32,-12,10,30,8
C001,Beta,43,-5,11,46,10
C001,Gamma,54,2,12,62,12
C001,Delta,65,9,13,59,14
C001,Epsilon,76,16,14,75,5
C002,Alpha,49,1,20,54,11
C002,Beta,60,8,21,51,13
C002,Gamma,71,15,22,67,15
C002,Delta,82,22,23,83,6
C002,Epsilon,20,-22,24,26,8
C003,Alpha,66,14,30,59,14
C003,Beta,77,21,31,75,5
C003,Gamma,15,-23,32,18,7
C003,Delta,26,-16,33,34,9
C003,Epsilon,37,-9,34,31,11
C004,Alpha,83,-24,40,83,6
C004,Beta,21,-17,41,26,8
C004,Gamma,32,-10,42,23,10
C004,Delta,43,-3,43,39,12
C004,Epsilon,54,4,44,55,14
C005,Alpha,27,-11,50,34,9
C005,Beta,38,-4,51,31,11
C005,Gamma,49,3,52,47,13
C005,Delta,60,10,53,63,15
C005,Epsilon,71,17,54,79,6
C006,Alpha,44,2,60,39,12
C006,Beta,55,9,61,55,14
C006,Gamma,66,16,62,71,5
C006,Delta,77,23,63,68,7
C006,Epsilon,15,-21,64,11,9
C007,Alpha,61,15,70,63,15
C007,Beta,72,22,71,79,6
C007,Gamma,83,-22,72,76,8
C007,Delta,21,-15,73,19,10
C007,Epsilon,32,-8,74,35,12
C008,Alpha,78,-23,80,87,7
C008,Beta,16,-16,81,11,9
C008,Gamma,27,-9,82,27,11
C008,Delta,38,-2,83,43,13
C008,Epsilon,49,5,84,40,15
C009,Alpha,22,-10,90,19,10
C009,Beta,33,-3,91,35,12
C009,Gamma,44,4,92,51,14
C009,Delta,55,11,93,48,5
C009,Epsilon,66,18,94,64,7
C010,Alpha,39,3,100,43,13
C010,Beta,50,10,101,59,15
C010,Gamma,61,17,102,56,6
C010,Delta,72,24,103,72,8
C010,Epsilon,83,-20,104,88,10
